Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,GIF,Notes
1,h,7,10,=+1,=+8,=+8,-,
1 or f+1,h,7,10,=+1,=+8,=+8,-,
"1+2 (Hold long as possible)*, b, b (Cancel)",h,25,65,CS(11),CS(11),CS(11),-,Power crush
"1+2 (Hold long as possible)*, f, f (Cancel)",h,25,65,CS(21),CS(21),CS(21),-,Power crush
1+2 or WS+1+2,h,14,31,-20,-8,-8,-,Power crush
"1+2*, b, b (Cancel)",h,20,405,-6,CS(11),CS(11),-,Power crush
"1+2*, f, f (Cancel)",h,20,405,=+4,CS(21),CS(21),-,Power crush
"1+2, (Hold long as possible)*",h!,25,65,CS,CS,CS,-,Power crush
"1+2, *",h,20,10,-11,CS,CS,-,Power crush
"1+2, b, b (Cancel)",h,14,315,-15,-3,-3,-,
"1+2, f, f (Cancel)",h,14,315,-5,=+7,=+7,-,
"1, 1","h, h","7,7",10,-3,=+4,=+4,-,
"1, 2","h, m","7,20",10,-17~-16,KND,KND,-,
2,Sm,15,15,-9,0,0,-,
2 or f+2,Sm,15,15,-9~-8,0~+1,0~+1,-,
3,h,14,15,-8,=+3,=+3,-,
3 or b+3,h,14,15,-8,=+3,=+3,-,
4,h,12,14,-13~-12,=+2~+3,=+2~+3,-,
4,h,12,14,-13,=+2,=+2,-,
"4, 3","h, h","12,17",14,-5~-4,=+19k,KND,-,"Tail spin, Homing"
b+1,h,17,14,-14~-13,KND,KND,-,
b+1,h,17,14,-14~-13?,KND,KND?,-,
b+2,m,21,23,-9~-8,=+8~+9,KND,-,Homing
b+2,m,21,23,-8,=+8,KND,-,Homing
b+3,h,14,15,-8,=+3,=+3,-,
b+4,l,15,20,-13~-12,=+1~+2,=+1~+2,-,
b+4,l,15,20,-13,=+1,=+1,-,
BT 1 or 2,h,20,8,-8,=+3,=+3,-,
BT 3 or 4,h,33,10,-8,KND,KND,-,
BT d+1 or 2,Sm,10,10,-2,=+9,=+9,-,
BT d+3 or 4,l,12,10,-11,=+3,=+3,-,
d+1,Sm (TC),5,10,-5,=+6,=+6,-,
d+2,Sm (TC),6,12,-4,=+7,=+7,-,
d+4,l (TC),20,17,-26~?,KND,KND,-,
d/b or d+1 or FC+1,Sm (TC),5,10,-5,=+6,=+6,-,
"d/b or d+1, 2 or FC+1, 2","Sm (TC), Sm (TC)","5,8",10,-13,-2,-2,-,
d/b or d+2 or FC+2,Sm (TC),6,12,-4,=+7,=+7,-,
d/b or d+3 (Close),l (TC)?,10,15,-11,-2,-2,-,
d/b or d+3 (Far),l (TC)?,6,15,-11?,-2?,-2?,-,
d/b or d+3 or FC+3,l (TC),7,15,-11,-2,-2,-,
d/b or d+3 or FC+3 (Close),l (TC),10,15,-11,-2,-2,-,
d/b or d+4 or FC+4,l (TC),20,17,-27,KND,KND,-,
d/b+1,Sm (TC),5,10,-5,=+6,=+6,-,
d/b+2,Sm (TC),6,12,-4,=+7,=+7,-,
d/b+4,l (TC),20,17,-26~?,KND,KND,-,
d/f+1,m,10,13,-4~-3,=+7~+8,=+7~+8,-,
d/f+1,m,10,13,-4,=+7,=+7,-,
"d/f+1, 1","m, h","10,7",13,-3,=+6,=+6,-,
"d/f+1, 2","m, mm","10,5,15",13,-13s,=+5s,=+5s,-,
"d/f+1, 2 (Third hit miss)","m, m","10,5",13,–,–,–,-,
d/f+2,m,10,16,-7~-6,=+3~+4,=+3~+4,-,
