Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,GIF,Notes
1,h,7,10,=+1,=+8,=+8,-,
1+2,m (TJ),21,33,-5~-4,KND,KND,-,
1+2+3,(Special) (TJ),,60,,,,-,
1+2+3+4,(Special) (TJ),,60,,,,-,
"1+2+3+4, 1+2","(Special) (TJ), (DES)",,60,,,,-,
1+2+4,(Special),,60,,,,-,
"1, 1","h, h","7,18",10,-3,=+5,KND,-,
"1, 1, 1+2","h, h, (DES)","7,18",10,-3,=+5,KND,-,
"1, 2","h, h","7,10",10,-2,=+4,=+9,-,
"1, 2, 2","h, h, l","7,10,17",10,-11~-10,=+2~+3,KND,-,
"1, 2, 2*","h, h, l","7,10,22",10,-10~-9,KND,KND,-,
"1, 2, 4","h, h, h","7,10,21",10,-5~-4,KND,KND,-,Tail spin
2,h,10,12,-6,=+5,=+5,-,
"2, 3","h, m","10,8",12,-10~-9,=+1~+2,=+1~+2,-,
"2, 3, 3","h, m, m (TJ)","10,8,25",12,-11~-9,KND,KND,-,Tail spin
"2, 3, 4","h, m, l (TJ)","10,7,20",24,-19~-16,KND,KND,-,
"2, 4","h, h","10,21",12,-5~-4,KND,KND,-,Tail spin
3,m,12,14,-12~-11,-1~0,-1~0,-,
"3, 2","m, m x 5, (DES)","12,4*5",14,-9,=+1,=+1,-,
4,h,24,13,-5~-4,KND,KND,-,"Tail spin, Homing"
b+1,m,15,15,-5~-4,=+8~+9,=+8~+9,-,
"b+1, 1+2","m, Sm, m","15,1,30",15,-16~-14,Launch,Launch,-,
b+2,m,12,18,-12,-2,-2,-,
b+2+3,!,50,75,KND,KND,KND,-,
"b+2, 1","m, m","12,17",18,-13~-12,=+3~+4s,KND,-,
"b+2, 4","m, h","12,20",18,-7~-6,KND,KND,-,Tail spin
b+3,m,26,20,-8~-6,ED,ED,-,Homing
b+3+4,m (TJ),20,19,-17~-16,Launch,Launch,-,
"b+3+4, 3+4","m (TJ), m (TJ)","20,35",19,=+5~+10s,KND,KND,-,
b+4,m,17,15,-13~-12,-4~-3,CS,-,
"b+4, 3","m, m","17,20",15,-11~-10,=+6~+7s,KND,-,
"b+4, 3, 1+2","m (TJ), m, (DES)","17,15",15,-11~-10,=+6~+7s,KND,-,
"b, B+1+4",h! (TJ),50,63,KND,KND,KND,-,
"b, f+2",h,26,16,-8~0,KND,KND,-,Power crush
BT 1 or 2,h,15,8,-8,=+3,=+3,-,
BT 3,h,25,10,-8,KND,KND,-,
BT 3+4,m (TJ),25,37,=+2~+4s,KND,KND,-,
BT 4,m (TJ),20,16,-3~-2,KND,KND,-,
BT d+1 or 2,Sm,10,10,-2,=+9,=+9,-,
BT d+3 or 4,l,12,10,-11,=+3,=+3,-,
d+1,Sm (TC),5,10,-5,=+6,=+6,-,
d+1+2 or From special move (to DES),(DES),,18,,,,-,
d+2,m,17,24,-14~-12,=+2~+4s,=+2~+4s,-,
"d+2, 4","m, m","17,24",24,-13~-10,KND,KND,-,
"d+2, 4, 1+2","m, m, (DES)","17,24",24,-13~-10,KND,KND,-,
d+3,"l (TJ), (Special) (TC)",17,23,-10~-1,=+8~+17,KND,-,
d+3 (After stance ends),"l (TJ), (Special) (TC)",17,23,-19~-10,-1~+8,KND,-,
d+3+4,l (TJ),20,27,-37,KND,KND,-,Homing
"d+3+4, 1+2","l (TJ), (DES)",20,27,,KND,KND,-,Homing
d+4,l,15,17,-16~-15,-5~-4,-5~-4,-,
"d+4, 1+2","l, h","15,20",17,=+2,KND,KND,-,Tail spin
d/b+1,(Special) (TC),,15,,,,-,
d/b+1~1,h,31,11,=+4~+6,KMED,KMED,-,Tail spin
d/b+1~2,h! (Sky),"20(,3)",34,KND,KND,KND,-,
d/b+1~3,m (TJ),30,24,-9,KND,KND,-,
d/b+1~4,m,30,18,-9~-4,Launch,Launch,-,
d/b+2,m,17,18,-18~-17,-5~-4,-5~-4,-,
"d/b+2, 2","m, m","17,13",18,-10~-9,=+14~+15 (SH),=+14~+15 (SH),-,
"d/b+2, 2, 1+2","m, m, (DES)","17,13",18,-10~-9,=+14~+15 (SH),=+14~+15 (SH),-,
d/b+3,l (TC),11,16,-12,-1,=+4,-,
d/b+4,l (TC),23,24,-17~-16,KND,KND,-,
d/f+1,m,10,13,-6,=+5,=+8,-,
d/f+1+2,"m, (DES)",25,18,-14,CS,CS,-,Power Crush
"d/f+1, 1","m, h","10,20",13,=+1~+2,=+8~+9,=+8~+9,-,
"d/f+1, 1, 2","m, h, h x 7, (DES)","10,20,4*7",13,=+6,=+8,=+8,-,
"d/f+1, 4","m, m","10,17",13,-9~-8,=+5~+6s,KND,-,
d/f+2,m,16,16,-9~-8,Launch (JG?)(+7),Launch (JG?),-,
d/f+3,m,14,16,-9,=+1,=+1,-,
"d/f+3, 3","m, l","14,17",16,-12~-11,=+1~+2,KND,-,
d/f+4,m,13,12,-7,=+4,=+4,-,
DBT 1,h x 6,5*6,24,=+9,=+11,=+11,-,
DBT 1+2,mmmm,"5,5,5,20",12,0,KND,KND,-,
DBT 2,mmhhh,"8,8,8,20,25",16,-14,KND,KND,-,
"DBT 2, 1","mmhh, h (TJ)","8,8,8,20,45",16,-12~10s,KND,KND,-,
"DBT 2, 1+2","mmhhh, (Special)","8,8,8,20,25",16,-14,KND,KND,-,
"DBT 2, 1, 1+2","mmhh, h (TJ), (Special)","8,8,8,20,45",16,-12~10s,KND,KND,-,
DBT b (Cancel),(Special),,19,,,,-,
"DBT f+3+4, u or D",(Special) (TJ),,19,,,,-,
DES 1,mmhhhm,"3*5,20",14,-9,KZUD,KZUD,-,
DES 1+2,hhh,"7,7,20",16,0,KND,KND,-,Homing
DES 2,mmm,5*3,20,-8,Launch (JG?),Launch (JG?),-,
DES 2 When hit 1,"m x 3, h!","5*3,14",20,,Launch,,-,
DES 3 or 4,,,20,,,,-,
DES b or F,(DES),,18,,,,-,
DES b+2,m,17,18,-12~-10,0~+2,CS,-,
"DES b+2, 1","m, m, Sm x 4","17,8,5*4",18,-8s,KND,KND,-,
"DES b+3+4 or b, b or u/b, b",(Special) (TJ),,60,,,,-,
DES BT 1 or 2,m x 6,4*6,19,-9,CS,CS,-,
DES d+1,l x 5 (TC),"4*4,8",20,-12,=+3s,=+3s,-,
DES d+1+2 or D/B (Cancel),(DES),,18,,,,-,
DES d+2,llll,5*4,30,-14~-13,=+2~+3,2~+3,-,
"DES d+2, *",l x 5 or 6,5*5or6,30,-14~-13,=+2~+3,2~+3,-,
DES d/f+1+2,"m, (DES)",25,18,-14,CS,CS,-,Power Crush
DES f+1,h x 7,3*7,12,0,=+11,=+11,-,
DES f+1+2,m x 8,"3*7,13",23,=+7,CS,CS,-,
"DES f+1+2, 1+2","m x 5, m","3*5,20(,3)",23,-53,Launch,Launch,-,
DES f+2,(Sky)!,"3,2,1,1,1",10,,KND,KND,-,
"DES f+3+4 or f, f (to DBT)",(DBT),,19,,,,-,
DES u or d+3+4,(Special) (TJ),,,,,,-,
"DES u or d+3+4, 1","(Special) (TJ), m",25,20,-10,CS,CS,-,
DES u/b or u or u/f+1+2,mmm (TJ),9*3,29,-9s,CS,CS,-,
"DES u/f+1+2, 1+2","m x 3 (TJ), (Special)",9*3,29,-9s,CS,CS,-,
f+1,h,7,10,=+1,=+8,=+8,-,
f+1+2,m,25,14,-12~-11,=+7~+8,=+7~+8,-,
"f+1+2, 3+4","m, (Special) (TJ)(SBT)",25,14,-16~-15,=+3~+4,=+3~+4,-,
"f+1+2, f+3+4","m, (Special) (TJ)(DBT)",25,14,-16~-15,=+3~+4,=+3~+4,-,
f+2,m,12,17,-4~-3,=+7~+8,=+7~+8,-,
"f+2, 1","m, m, (DES)","12,20",17,-14,CS,CS,-,
"f+2, 1+2","m, (DES)",12,17,-4~-3,=+7~+8,=+7~+8,-,
"f+2, 3","m, h (TJ)","12,8",17,-8,=+4,=+4,-,
"f+2, 3, 3","m, h (TJ), m","12,8,22",17,-10~-9,ED,ED,-,wb!
"f+2, 3, f","m, h (TJ), (Special)","12,8",17,-12,0,0,-,
f+3,h,13,14,-14~-13,-3~-2,-3~-2,-,
f+3+4 (to SBT),(Special) (TJ)(SBT),,18,,,,-,
"f+3+4, B",(Special),,18,,,,-,
"f+3+4, D",(Special),,18,,,,-,
"f+3, 1+2","h, m, (DES)","13,25",14,-13~-12,CS,CS,-,
"f+3, 2","h, h, (DES)","13,20",14,-4~-2,KND,KND,-,Tail spin
f+4,m,14,16,-12,-2,-2,-,Homing
"f+4, 1","m, h","14,14",16,-9~-8,KND,KND,-,
"f+4, 1, 4","m, h, m","14,14,24",16,-14~+12 (-12),KND,KND,-,
"f, F+1+2",mm,"5,18",17,-16~-15,CS,CS,-,
"f, F+1+2 When hit 2","mm, m x 6, (DES)","5,18,2*6",17,,CS,CS,-,
"f, F+2",m,18,16,-18~-17,KND,KND,-,
"f, F+2, 3","m, m","18,25",16,-13~-11,KMED,KMED,-,
"f, F+3",m,12,18,-18~-17,-6~-5,-6~-5,-,
"f, F+3, 4","m, h (TJ)","12,15",18,-9~-8,KND,KND,-,
"f, F+3, 4, 1+2","m, h (TJ), (DES)","12,15",18,-9~-8,KND,KND,-,
"f, F+3, 4, 4","m, h (TJ), m","12,15,25",18,-10~-8,KND,KND,-,Tail spin
"f, F+3, 4, 4, 1+2","m, h (TJ), m, (DES)","12,15,25",18,-10~-8,KND,KND,-,Tail spin
"f, F+4",m,18,19,-11~-4,Throw(+5b),Throw(+5b),-,
"f, F+4 When hit f or b+1","m, m","18,22",19,,KND,,-,
"f, f, f+2",h,30,13,=+5~+7,KND,KND,-,
"f, f, f+3",m (TJ),15,18,-4~-3,=+6~+7,=+6~+7,-,
"f, f, f+3, 4","m (TJ), m (TJ)","15,20",18,-7~-5,KMED,KMED,-,Tail spin
FC+1,Sm (TC),5,10,-5,=+6,=+6,-,
FC+2,Sm (TC),8,11,-4,=+7,=+7,-,
FC+3,l (TC),12,16,-17,-3,-3,-,
FC+4,l (TC),10,12,-15,-4,-4,-,
FC+d/f+1+2,ll,"10,16",21,-11~-9,=+5~+7s,=+5~+7s,-,
"FC+d/f+1+2 , 1+2","ll, (DES)","10,16",21,-11~-9,=+5~+7s,=+5~+7s,-,
