Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,GIF,Notes
1,h,7,10,=+1,=+8,=+8,-,
1+2,m,10,17,-10,0,0,-,
1+2+3+4,h! (charge),30,33,,,,-,
"1+2, 2","m, h","10, 20",16,-3,KND,KND,-,
"1+2, 3","m, m","10, 17",16,-13,=+8,KND,-,
"1+2, B",m (BT),10,16,-10,0,0,-,
1+4,m!,25,52,KND,KND,KND,-,
"1, 2, 1","h, h, m","7, 10, 17",10,-5,=+1,=+31g,-,
"1,2","h, h","7,10",10,-1,=+5,=+5,-,
2,l,10,10,=+1,=+7,=+7,-,
"2, 1",h m,"10, 12",10,-2,=+5,=+5,-,10f punish
3,h,25,17,-14,KND,KND,-,
3+4,m (TJ),10,25,-7,=+3,=+3,-,
"3+4, 1","m, m (TJ) (throw)","10, 25(,5)",25,0,Throw,Throw,-,
"3+4, 2","m, m (TJ)","10, 25",25,-18,KND,KND,-,
4,h,20,13,-5,=+6,JG,-,
b+1,h,12,12,-7,=+5,KND,-,
b+1+2,m,0,18,=+1,=+5,=+16,-,
b+1+4,m,24,31,-13,KND,KND,-,
"b+1, 2","h, m","12, 15",12,-12,=+6,KND,-,12f punish
b+2,m,10,15,-9,=+2s,=+2s,-,
b+2+3,m!,50,3,JG,JG,JG,-,
"b+2, 1","m, m","10, 8",15,-12,-1,-1,-,
"b+2, 1, 2","m, m, h","10, 8, 20",15,-7,KND,KND,-,Tail spin
b+3,h,23,16,-10,KND,KND,-,
b+4,m,15,15,-11,0,0,-,
b+4 (when hit) 1+2,m (throw),"14, 20",18,,throw,,-,
BT 1 or 2,h,15,8,-8,=+3,=+3,-,
BT 1+4,m!,20,41,KND,KND,KND,-,
BT 3,m,20,13,-20,KND,KND,-,
BT 4,m,20,18,-10,KND,KND,-,
BT d+1 or d+2,sm,10,10,-2,=+9,=+9,-,
BT d+3 or d+4,l,12,10,-11,=+3,=+3,-,
"charge f, N, d, d/f+2",m,24,63,0,JG,JG,-,
charge qcf+1+2,h!,30,73,0g,0g,0g,-,
d+1+2,m (TJ),25,30,-8,0,0,-,
d+1+4 or d+2+3,l (special),,27,,,,-,
"d+1+4 or d+2+3, 1+2",m (TC) (throw),"18 (,15)",14,-19s,Throw,Throw,-,
"d+1, 4 or FC+1, 4","sm, m","5, 13",13,-10,=+6,=+6,-,
d+2,m,17,17,-2,=+5s,=+9,-,
"d+2, 4","m, m","17, 17",17,-14,-3,-3,-,
"d+2, 4, 3","m, m, m","17, 17, 20",17,-11s,KND,KND,-,
d+3,l,12,17,-12,=+1,=+1,-,
d+3+4 or FC+3+4 or FC+d/f+4,l (TC),12,17,-16,-5,-3,-,
"d+3+4, 1","l, h","12, 13",17,-9,=+15k,KND,-,Tail spin
"d+3+4, 3","l, m","12, 13",17,-16,KND,KND,-,
d+4,l (TC),9,14,-13,-2,-2,-,
d/b or d+1,sm (TC),5,10,-5,=+6,=+6,-,
d/b+1+2,m,30,26,=+3,KND,KND,-,
"d/b+1+2, D",(special),,26,,,,-,
d/b+2,m,10,14,-11,0,0,-,
"d/b+2, 3","m, m","10, 20",14,-16,KND,KND,-,
"d/b+2, 4","m, h","10, 20",14,-9,=+13k,KND,-,14f punish
d/b+3,l (TC),20,23,-26,=+5,KND,-,
d/b+4,"l (TC, TJ)",20,29,-20,KND,KND,-,
d/f+1,m,12,13,-1,=+7,=+7,-,
d/f+1+2,m,20,25,-7,KND,KND,-,"Homing, Tail spin"
d/f+2,m,21,15,-12,-1,KND,-,
"d/f+2, 1","m, h","21, 8",15,-12g,-1,-1,-,
d/f+3,m,17,17,-5,=+5,KND,-,
d/f+3+4,m (TC) (throw),"15(,30)",28,-18,-7,-7,-,
d/f+4,m,15,12,-4,=+7,=+7,-,
f+1+2,m,25,20,-13,KND,KND,-,Power Crush
f+1+4 or f+1~4,m,28,13,-20,KND,KND,-,
f+2,m,12,15,-11,=+2,=+2,-,
"f+2, 1","m, h","12, 20",15,-9,KND,KND,-,
f+3,m,15,16,-3,=+4,=+4,-,
"f+3, 4","m, m","15, 13",16,-7,=+3,=+3,-,
"f+3, 4, 3","m, m, h","15, 13, 22",16,-7,KND,KND,-,Tail Spin
f+4,m,21,23,=+2s,=+7s,KND,-,
"f, F+1+2",m (TJ),28,22,-18,KND,KND,-,
"f, F+2",m,23,16,-11,KND,KND,-,
"f, F+3",h,23,17,0,KND,KND,-,"Homing, Tail spin"
"f, F+3+4",h (TJ),35,23,-10,KND,KND,-,
