Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,GIF,Notes
1,h,8,10,-2,=+9,=+9,-,
1+2,m,21,16,-9~-8,CS,CS,-,
1+4,lh,"5,8",14,-3(-19s),=+9,=+9,-,
1+4 (First hit only),l,5,14,-19,-8,-8,-,
"1+4, 2","lh, h","5,8,10",14,-2,=+9,=+9,-,
"1+4, 2, 1","lh, h, h","5,8,10,12",14,-2,=+9,=+9,-,
"1+4, 2, 4","lh, h, m","5,8,10,23",14,-9,=+4,KND,-,
"1+4, 2, d+4","lh, h, l","5,8,10,15",10,-23,KND,KND,-,
"1+4, 3","lh, m","5,8,24",10,-2~0,KND,KND,-,Tail spin
"1+4, 3, b (Cancel)",lh,"5,8",10,-20(37s),-9,-9,-,
"1, 1","h, m","8,15",10,-7,=+4,=+4,-,
"1, 2","h, m","8,9",10,-8~-7,=+3~+4a,=+3~+4a,-,
"1, 2, 3","h, m, m","8,9,24",10,-2~0,KND,KND,-,Tail spin
"1, 2, 3, * (three spins)","h, m, !","8,9,28",10,KND,KND,KND,-,Tail spin
"1, 2, 3, *, n (two spins)","h, m, m","8,9,26",10,=+6~+7,KND,KND,-,Tail spin
"1, 2, 3, B (Cancel)","h, m","8,9",10,-18~-17,-7~-6a,-7~-6a,-,
"1, 2, 4","h, m, m","8,9,20",10,-12~-11,KND,KND,-,
"1, 3","h, l","8,10",10,-11,0,0,-,
"1, 4","h, l (TC)(LCT)","8,14",10,-11~-9,0~+2,=+3~+5,-,
2,h,9,12,-11,0,0,-,
2+3,h(Absorbs 1 h/m hit),21,28,0~+1,KND,KND,-,
"2, 1","h, h","9,10",12,-3~-2,=+8~+9,=+8~+9,-,
"2, 1, 1+2","h, h, hh","9,10,8,20",12,-9~-8,KND,KND,-,Tail spin
"2, 3","h, m (TJ)","9,20",12,-19~-18,KND,KND,-,
3,m,17,14,-7,=+9,=+9,-,
3+4,mm (TJ),"10,21",23,-6~-4,KND,KND,-,
"3+4, (d/b, d or d/f)",mm (TJ),"10,21",23,-6~-4,KND,KND,-,
"3, 1","m, m?","17,17",14,-11~-10,=+8,CS,-,
3~4,l (TC),22,26,-26,KND,KND,-,Homing
4,h,18,11,-7,=+7,Launch (JG?),-,
b+1,"l (TC)(, (throw))",17,29,-10~-9,=+6~+7,Throw(KND),-,
b+1+4,hl,"15,8",12,-8~-7,=+5~+6,=+5~+6 +7~+8,-,
"b+1+4 (First hit only, Second hit miss)",h,15,12,-25,-14,-14,-,
"b+1+4, 3","hl, l?","15,8,18",12,-13~-12,-2~-1,KND,-,
