Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,Tracking,Notes
1,h,7,10,=+1,=+8,=+8,-,
1 When parrying 2,h,30,13,-10~-9,KND,KND,-,
1+2,m,16,17,-7~-6,=+6~+7,=+5~+6b,b,Homing
"1+2, 2","m, m","16,20",17,-14,KND,KND,-,
1+3+4 (to TNT),!,0,28,=+16~+19,=+16~+19,=+16~+19,-,
"1, 2","h, h","7,8",10,-2,=+5,=+5,-,
"1, 2, 1","h, h, m","7,8,18",10,-6,=+6,CS,-,
"1, 2, 3","h, h, l","7,8,15",10,-12,=+2,KND,-,
"1, 2, 4","h, h, h","7,8,24",10,-3,KND,KND,-,Tail spin
"1, 4","h, h","7,14",10,-7,=+4,=+4,-,10f punish
"1, 4, 2","h, h, h","7,14,18",10,-7,=+4,CS,-,"Rage art, Rage art"
"1, 4, 2, 1","h, h, h, h","7,14,18,17",10,0,CS,CS,-,"Rage art, Rage art"
"1, 4, 2, 1, 2","h, h, h, h, h","7,14,18,17,22",10,-9,KND,KND,-,
"1, 4, 2, 1, 4","h, h, h, h, m (TJ)","7,14,18,17,21",16,-5~-4,KND,KND,-,Tail spin
"1, 4, 2, 1, u or d (Cancel)","h, h, h","7,14,18",10,-10,=+1,CS,-,
"1, 4, 2, 4","h, h, h, m (TJ)","7,14,18,21",16,-5~-4,KND,KND,-,Tail spin
"1, 4, 3","h, h, m","7,14,15",16,-10,=+1,=+1,-,
"1, 4, 3, 3","h, h, m, h","7,14,15,18",16,-7,=+7,=+7,-,
2,h,10,10,=+1,=+7,=+7,-,
2 When parrying 2,m,22,15,-5,=+7,=+7,-,
"2, 3","h, m","10,14",10,-10,=+6,=+6,-,
3,m,14,16,-4,=+7,=+7,-,
3+4,m,20,18,-13,CS,CS,-,
"3, 2","m, m","14,11",16,-10,=+1,=+1,-,
"3, 2, 1","m, m, m","14,11,10",16,-9,=+2,=+2,-,
"3, 2, 1, 2","m, m, m, m","14,11,10,14",16,-10,KND,KND,-,
"3, 2, 1, 4","m, m, m, l","14,14,10,12",16,-11,0,0,-,
"3, 3","m, h","14,13",16,-6,=+6,=+6,-,
"3, 3, 2","m, h, h","14,13,20",16,-7~-6,Launch,Launch,-,
"3, 3, 4","m, h, m","14,13,25",16,-12,KND,KND,-,
4,h,15,12,-7,=+6,Launch (JG?),-,
"4, 3","h, m","15,12",12,-10~-9,=+4~+5,=+4~+5,-,12f punish
"4, 3, 4","h, m, m","15,12,16",12,-12,KND,KND,-,Tail spin
"4, 3, 4* (Very long hold)","h, m, m","15,12,25",12,-9~-8,KND,KND,-,Tail spin
"4, 3, f+4","h, m, h","15,12,18",12,-5~-4,=+6~+7,KND,-,
After TNT f+2,m,10,15,-10,=+1,=+1,-,
"After TNT f+2, 1","m, m","10,12",15,-10,=+1,=+1,-,
"After TNT f+2, 1, 4","m, m, m","10,12,16",15,-161~-160,CS,CS,-,
"After TNT f+2, 1, 4, 2","m, m, m, h","10,12,16,5",15,-140,CS,CS,-,
"After TNT f+2, 1, 4, 2, 1","m, m, m, h, h","10,12,16,5,5",15,-134,CS,CS,-,
"After TNT f+2, 1, 4, 2, 1, 4","m, m, m, h, h, m (TJ)","10,12,16,5,5,
10",16,-136~-137,KND,KND,-,
"After TNT f+2, 1, 4, 2, 1, 4, 2","m, m, m, h, h, m (TJ), h","10,12,16,5,5,
10,28",16,=+4,KND,KND,-,
"After TNT f, F+2",h,44,13,=+4,KND,KND,-,Power crush
"After TNT u/b+1+2, ,",mm,"5,2～",15,–,KND,KND,-,
b+1,m,21,20,=+3,=+7s,JG,-,
b+1+3 or b+2+4,Absorbs 1 h/m hit,,2,,=+3,,-,
b+1+4,!,45,53,KND,KND,KND,-,
b+2,h,18,17,-7,=+4,CS,-,
b+2,h,18,17,-7,=+4,CS,-,
"b+2, 1","h, h","18,17",17,0,CS,CS,-,
"b+2, 1, 2","h, h, h","18,17,22",17,-9,KND,KND,-,
"b+2, 1, 4","h, h, m (TJ)","18,17,21",16,-5~-4,KND,KND,-,Tail spin
"b+2, 1, u or d (Cancel)",h,18,17,-10,=+1,CS,-,
"b+2, 4","h, m (TJ)","18,21",16,-5,KND,KND,-,Tail spin
b+3,m,12,19,-7,=+4,=+4,-,
"b+3, 1+2","m, m","12,25",20,-6,=+4s,KND,-,
"b+3, 1+2, D","m, m","12,25",20,-6,=+4s,KND,-,
"b+3, 2","m, h","12,12",20,-4,=+7,=+7,-,
"b+3, 2, 1","m, h, m","12,12,10",20,-9,=+2,=+2,-,
"b+3, 2, 1, 2","m, h, m, m","12,12,10,14",20,-10,KND,KND,-,
"b+3, 2, 1, 4","m, h, m, l","12,12,10,12",20,-11,0,0,-,
"b+3, 4","m, m","12,18",20,-12,-2,-2,-,
