Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,GIF,Notes
1,h,7,10,=+1,=+8,=+8,-,
1,h,9,10,=+1,=+8,=+8,-,
1+2,m,20,17,-14,=+2s,=+2s,-,
1+2 When hit 1+2,"m, (throw)","20,20",17,,0,,-,
"1+2 When hit 1+2 When hit , b or f+2","m, (throw), (throw), (STB)","20,20,18",17,,Throw(KND),Throw(KND),-,
"1, 2","h, h","7,12",10,-1~0,=+6~+7,=+6~+7,-,
"1, 3","h, l","7,11",10,-12,-1,-1,-,
2,h,10,12,-3,=+3,=+3,-,
"2, 1","h, m","10,13",12,-6,=+5,=+5,-,
"2, 1, 2","h, m, m","10,13,25",12,-13~-11,KND,Tail spin,-,Tail spin
3,h,21,12,-6,-1,JG,-,
3+4,"m (TJ), ?",20,24,-10~-8,KND,KND,-,
4,h,15,12,-8,=+3,KND,-,
4,h,,12,–,=+,KND,-,
"4, 3","h, h (TJ)","15,13",17,-5~-4,=+15kg,Tail spin,-,"Homing, Tail spin"
b+1,m,20,18,-9,KND,KND,-,"Tail spin, Homing"
b+1,m,,18,-9,KND,KND,-,"Tail spin, Homing"
b+1+2,m,25,22,-13~-12,KND,KND,-,Power crush
b+2,h (STB),30,14,-9~-8,KND,KND,-,
b+2+3,!,60,72,TKMD,TKMD,TKMD,-,
b+3,m,16,13,-4,=+7,=+7,-,
b+3,m,,13,-4,=+7,=+7,-,
b+3+4,m,24,29,-14~-13,KND,KND,-,Homing
b+4,m,10,17,-14,-3,-3,-,
b+4,m,,17,-14,=+,=+,-,
"b+4, 1","m, h","10,18",17,-8,=+13k,KND,-,Tail spin
"b+4, 2","m, m (STB)","10,20",17,-12,KND,KND,-,
"b+4, 3","m, h","10,14",17,-12~-11,-4~-3,=+1~+2,-,Homing
"b+4, 3, 2","m, h (TJ)","10,14,20",17,-13~-12,KND,KND,-,
BT 1 or 2,h,20,8,-8,=+3,=+3,-,
BT 3 or 4,h,33,10,-8,KND,KND,-,
BT d+1 or 2,Sm,10,10,-2,=+9,=+9,-,
BT d+3 or 4,l,12,10,-11,=+3,=+3,-,
d+1,m,16,17,-8~-7,=+2~+3,=+2~+3,-,
d+1+2 or BT 1+2,m,28,13,-18~-17,KND,KND,-,
"d+1, 2","m, m","16,16",10,-9,=+4,=+9,-,
"d+1, 2","m, m","16,16",17,-9,=+4,=+9,-,
d+2,l (TC),11,20,-11,0,0,-,
d+2,l (TC),11,20,-12,-1,-1,-,
"d+2, 2","l, l (TC)","11,15",20,-12,-1,-1,-,
d+3,l (TC),16,16,-17,-3,-3,-,
d+4,l (TC),9,12,-13,-2,-2,-,
d/b+1,Sm (TC),5,10,-5,=+6,=+6,-,
d/b+1+2,"m, m","20,20",21,-4,KND,KND,-,
d/b+2,Sm (TC),8,11,-4,=+7,=+7,-,
d/b+2 or FC+d/b or d+2,Sm,8,11,-4,=+7,=+7,-,
"d/b+2, 1","Sm, m","8,12",11,-13(s),-2,-2,-,
d/b+3,l (TC),23,24,-17~-16,=+1~+2s,KND,-,
d/b+3,l(TC?),,24,-17,=+1s,KND,-,
d/b+4,l,7,15,-13,-2,-2,-,
d/b+4,l,,15,-11,0,,-,
"d/b+4, 3","l, h","7,10",15,-13,-2,-2,-,
d/f+1,m,10,15,-2~-1,=+9~+10,=+9~+10,-,
d/f+1,m,,15,-2,=+,=+,-,
"d/f+1, 2","m, m","10,13",15,-15~-14,JG,JG,-,
d/f+2,m,19,14,-13,=+5,KND,-,
d/f+2,m,,14,-13,=+2,CS,-,
d/f+3,m,14,14,-7,=+4,=+4,-,
d/f+3,m,,14,–,=+,=+,-,
"d/f+3, 1","m, m","14,20",14,-12,KND,KND,-,
"d/f+3, 2","m, h","14,10",14,-2,=+4,=+4,-,
d/f+4,m,14,13,-8,=+3,=+3,-,
d/f+4,m,,13,–,=+,=+,-,
f+1,h,9,10,=+1,=+8,=+8,-,
f+1+2,m,10,16,-18,-7,-7,-,
"f+1+2, 1+2","m, m","10,20",16,-14,KND,KND,-,
f+2,h,9,12,0,=+6,=+6,-,
f+2,h,,12,0,=+6,=+6,-,
"f+2, 1","h, m","9,12",12,-10~-9,=+6~+7s,=+6~+7s,-,
"f+2, 1, 1+2","h, m, m","9,12,25",12,-18~-17,KND,KND,-,
"f+2, 2","h, m(, (Special))(STB)","9,24",12,-26,CS,CS,-,Tail spin
f+3,h (TJ),27,18,-5,=+15k,Tail spin,-,"Homing, Tail spin"
f+3+4,h,25,17,=+2~+3,KND,KND,-,Homing
f+4,m,23,22,=+4s,=+4s,KND,-,
"f, F+1",h,9,10,=+1,=+8,=+8,-,
"f, F+2",m,,15,-19,=+,=+,-,
"f, F+2 or FC+d/f+2",m,14,14,-18~-16,-7~-5,-7~-5,-,
"f, F+2, 1+2 or FC+d/f+2, 1+2","m, m","14,20",14,-13~-12,KND,KND,-,Wall bounce
"f, F+2, 2 or FC+d/f+2, 2","m, h (STB)","14,20",14,-2~-1,KND,KND,-,
"f, F+3",m,,18,-10?,,,-,"Homing, Tail spin"
"f, F+4",m (TJ),20,15,-5~-3,KND,KND,-,
"f, F+4",m,,15,-5,KND,KND,-,
"f, f, f+2",h (STB),40,13,=+7~+10g,KND,KND,-,
FC+1,Sm (TC),5,10,-5,=+6,=+6,-,
FC+3,l (TC),13,16,-17,-3,-3,-,
FC+4,l (TC),10,12,-15,-4,-4,-,
FC+d/b or d+2,Sm (TC),8,11,-4,=+7,=+7,-,
From special move,(STB),,20,,,,-,
"in rage b+4, 2, f","m, m, (STB)","11,21",20,=+7,TKMD,TKMD,-,Rage drive
in rage d/f+1+2,m,55,20,-22,KND,KND,-,Rage art
SS+1,h,9,10,=+1,=+8,=+8,-,
SS+2,h,,11,0,=+,=+,-,
SS+3,,,12,,,,-,
SS+4,l,20,20,-12~-11,=+3~+4s,KND,-,
STB b+4,m,10,17,-14,-3,-3,-,
"STB b+4, 3","m, h","10,14",17,-15~-14,-4~-3,-4~-3,-,Homing
"STB b+4, 3, 2","m, h, m (TJ)","10,14,35",17,-1~0,JG,JG,-,
STB d+1,m,16,17,-9~-8,=+2~+3,=+2~+3,-,
"STB d+1, 2","m, m","16,23",17,=+8~+9,KND,KND,-,Tail spin
STB d+2,l (TC),11,20,-11,0,0,-,
"STB d+2, 2","l, l","11,15",20,-12~-11,KND,KND,-,
STB d/b+1+2,"m, !","20,20",20,CS,CS,CS,-,
STB f+1+2,m,10,16,-18,-7,-7,-,
"STB f+1+2, 1+2","m, m","10,20",16,-9,SPD,SPD,-,
u or u/f+2,m (TJ),25,25,-9,KND,KND,-,
u or u/f+3,m (TJ),20,23,=+2s,=+7s,JG,-,
u+3,m (TJ),21,23,=+2~+3s,=+7~+8s,JG,-,
u/b or u or u/f+1,m (TJ),16,18,-8,=+3,=+3,-,
u/b or u or u/f+2,m (TJ),25,25,-9,KND,KND,-,
u/b or u or u/f+4,m (TJ),13,15,-13~-11,Launch (JG?),Launch (JG?),-,
u/b or u+4,m (TJ),,15,-13,JG,JG,-,
u/b+2,m (TJ),,18,,,,-,
u/b+3,m (TJ),20,23,=+2~+3s,=+7~+8s,JG,-,
u/b+3,m (TJ),20,23,=+2s,=+7s,JG,-,
u/f+3,m (TJ),22,23,=+2~+3s,=+7~+8s,JG,-,
u/f+3+4,mm,"10,14",20,-11~-10,KND,KND,-,
u/f+4,m (TJ),,15,-13,JG,JG,-,
WS+1,m,12,12,-4~-3,=+7~+8,=+7~+8,-,
WS+1,m,,13,–,=+,=+,-,
"WS+1, 1","m, h","12,12",12,-12,=+9,=+9,-,
WS+2,"m(, (Special))(STB)",20,15,-14~-13,Launch (JG?),Launch (JG?),-,
WS+2,"m(, (Special))(STB)",,15,-14,Launch (JG?),Launch (JG?),-,
WS+3,m,20,16,-9,KND,KND,-,
WS+3,m,,16,-5?,KND,KND,-,
WS+4,m,18,11,-6~-5,=+5~+6,=+5~+6,-,
