Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,GIF,Notes
in rage d+1+2,m,55,20,-22,KND,KND,-,Rage art
"in rage f, f, f+1+2",m,30,15,=+5s,Launch,Launch,-,Rage art
"in rage f, f, f+1+2 , d/b+1+2","m, m(Throw)","30,5",15,中Throw(KND),中Throw(KND),中Throw(KND),-,Rage art
1,h,7,10,=+1,=+8,=+8,-,
"1, 1","h, h","7,8",10,-4,=+7,=+7,-,
"1, 1, 3","h, h, m","7,8,22",10,-9~-8,KND,KND,-,
"1, 2","h, m","7,8",10,-9,=+2,=+2,-,
"1, 2, 1","h, m, m","7,8,20",10,-14~-13,KND,uKZD,-,
"1, 3","h, h","7,14",10,-7~-6,=+1~+2,=+9~+10,-,
"1, 3, 2","h, h, m","7,14,20",10,-12~-11,KND,KND,-,
"1, 3, 2~1+2","h, h, h(Throw)","7,14,40",10,,Throw(KND),,-,
"1, 3, 2~1+2 B (Cancel)","h, h, (Special)","7,14",10,-32~-31,-24~-23,-16~-15,-,
2,h,10,10,0,=+9,=+9,-,
"2, 1","h, h","10,8",10,-2,=+6,=+6,-,
"2, 1, 3","h, h, h","10,8,24",10,-9~-8,KND,KND,-,
"2, 1, 4","h, h, l","10,8,14",10,-12,=+3s,=+3s,-,
3,m,10,15,-9~-8,=+2~+3,=+2~+3,-,
"3, 1","m, h","10,8",15,-2~-1,=+7~+8,=+7~+8,-,
"3, 1, df","m, h","10,8",15,0,=+8,=+8,-,
"3, 1, 2","m, h, m","10,8,24",15,-12~-10,KND,KND,-,
"3, 1, 4","m, h, h","10,8,27",15,-9,KND,KND,-,
4,h,15,12,-9,-1,=+7,-,
"4, 1","h, h","15,12",12,-6~-5,=+8~+9,=+8~+9,-,
"4, 3","h, m","15,20",12,-12~-11,KND,KND,-,
"4, 4","h, m (TJ)","15,23",22,=+3~+4,KND,KND,-,Tail spin
1+2,m,25,21,-14,KND,TUKD,-,Power crush
3+4,h (TJ),25,25,-14~-13,CS,CS,-,
"3+4, Any button","h (TJ), (Special)",25,25,-24~-23g,CS,CS,-,
f+2,h,16,19,-8~-7,=+3~+4,=+8~+9,-,
