Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,GIF,Notes
1,h,7,10,=+1,=+8,=+8,-,
1+2,(RFF),b,11,,,,-,
"1, 1","h, h","7,8",10,-2,=+6,=+6,-,
"1, 1, 3","h, h, l","7,8,10",10,-12,-1,-1,-,
"1, 1, 3, 3","h, h, l, h","7,8,10,14",10,-14,-3,-3,-,
"1, 2","h, h","7,10",10,-1,=+7,=+8,-,
"1, 2, 3","h, h, (Special)","7,10",10,=+3,=+11g,=+12,-,10f punish
"1, 2, 4","h, h, (Special)","7,10",10,=+3,=+11g,=+12,-,
"1, 2, f+3","h, h, m","7,10,14",10,-8,=+3,=+3,-,
"1, 2, f+4","h, h, h (TJ)","7,10,34",14,0,Tail spin,Tail spin,-,Tail spin
2,h,9,10,0,=+8,=+9,-,
"2, 3","h, (LFS)",9,10,=+3,=+11g,=+12,-,
"2, 4","h, (RFS)",9,10,=+3,=+11g,=+12,-,
"2, f+3","h, m","9,14",10,-8,=+3,=+3,-,
"2, f+4","h, h (TJ)","9,34",14,0,Tail spin,Tail spin,-,Tail spin
3,h,15,14,-7,=+4,=+4,-,
3+4,(RFF),,11,,,,-,
"3, 3","h, m","15,12",14,-13,-7,-2,-,
"3, 3, 3","h, m, m","15,12,15",14,-14,KND,KND,-,
"3, 3, 4","h, m, h, (RFS)","15,12,15",14,=+8~+12,=+19~+23g,=+19~+23g,-,
"3, 3, d/f or f+4","h, m, h","15,12,23",14,-4~+2y,KND,KND,-,
"3, 3, F","h, m, (LFS)","15,12",14,=+2,=+8,=+13,-,
3~4,mm (TJ),"11,21",22,-3,KND,KND,-,
4,h,14,11,-6~-5,=+5~+6,=+5~+6,-,
"4, 3","h, m(LFF)","14,12",11,-6,=+5,=+5,-,11f punish
"4, 3, f (Cancel)","h, (LFS)",14,11,-6~-5,=+5~+6,=+5~+6,-,
"4, 4","h, h, (RFS)","14,13",11,-1,=+10g,=+10,-,
"4, 4, 3","h, h, m(RFF)","14,10,20",11,-15~-9s,KND,KND,-,
"4, 4, 4","h, h, h, (RFS)","14,10,10",11,-1,=+10g,=+10,-,
"4, 4, 4, 3","h, h, h, m(RFF)","14,10,10,20",11,-15~-9s,KND,KND,-,
"4, 4, 4, 4","h, h, h, h(RFF)","14,10,10,20",11,=+2~+5,KND,KND,-,
"4, 4, f+4","h, h, h(RFF)","14,10,25",11,-6,=+5,=+5,-,
"4, f+4","h, h(RFF)","14,13",11,-5,=+6,=+6,-,
b+1,m,18,15,-13,0,CS (0),-,
b+2,h,18,13,-9~-7,=+15~+17kg,=+15~+17kg,-,
b+3,m,17,16,-19~-17,Launch (JG?),Launch (JG?),-,16f punish
b+4,h(RFF),20,13,-9~-8,=+2~+3,CS,-,
BT 1 or 2,h,15,8,-8,=+3,=+3,-,
BT 3,h,25,10,-8,KND,KND,-,
BT 4,m(RFF),20,14,-13~-11,Launch (JG?),Launch (JG?),-,
BT d+1 or 2,Sm,10,10,-2,=+9,=+9,-,
BT d+3 or 4,l,12,10,-11,=+3,=+3,-,
d+3,l,7,17,-13,-2,-2,-,
"d+3, 4","l, h, (RFS)","7,13",17,=+8~+12,=+14~+18g,=+19~+23,-,
d+4,l (TC),7,19,-17,-6,-6,-,
"d+4, 4","l (TC), h","7,22",19,-8,Launch (JG?),Launch (JG?),-,
d/b or d+1,Sm (TC),5,10,-5,=+6,=+6,-,
d/b or d+2,Sm (TC),8,11,-4,=+7,=+7,-,
d/b+3,l (TC),12,19,-13,0,=+7,-,
d/b+3+4,!,40,61,KND,KND,KND,-,
"d/b+3+4, b, b (Cancel)",(LFS),,61,,,,-,
d/b+4,l,12,16,-12,-8,-1,-,
"d/b+4, 4","l, h","12,21",16,-3~-1,KND,KND,-,Tail spin
"d/b+4, f","l, (RFS)",12,16,-1,=+3,=+10,-,
d/f+1,m,10,13,0~+1,=+7~+8,=+7~+8,-,
d/f+1+2,m,12,13,-3~-2,=+8~+9,=+8~+9,-,
d/f+2,m,13,15,-7~-6,Launch (JG?)(+4a),Launch (JG?),-,15f punish
d/f+3,m,12,22,-14~-13,-4~-3,-4~-3,-,Power crush
d/f+3+4,"m(, (Sky)(throw))","8(,6,15)",15,-11~-10,0~+1,0~+1,-,
"d/f+3, 4","m, m","12,20",22,-14~-13,KND,KND,-,
"d/f+3, f (Cancel)",(LFS),,22,,,,-,
d/f+4,m(RFF),20,16,-8~-7,=+8~+9,KND,-,"Homing, Tail spin"
f+1,h,7,10,=+1,=+8,=+8,-,
f+1+2,m,17,15,-9,=+2,CS,-,
f+2,m(RFF),15,16,-2,=+9,=+9,-,
f+3,(Special),,13~,,,,-,
f+3,(Special),,18,,,,-,
f+3,(Special),,16,,,,-,
f+3~n+3,m,25,20,-16,KND,KND,-,
f+4,"h, (RFS)",21,17,=+8~+12,=+19~+23g,=+19~+23g,-,
"f, F+3",m(RFF),24,22,=+6~+10,=+6~+10s,=+6~+10s,-,
"f, F+4",m(RFF),22,17,-7~-6,KND,KND,-,
"f, f, f+3",m (TJ),30,22,=+6~+8,KND,KND,-,
"f, f, f+4",h,28,18,=+5~+6,=+8~+9b,=+8~+9b,-,
"f, n+4",(Special),,23,,,,-,
"f, n+4",(Special),,23,,,,-,
"f, n, d, d/f+3","m, (LFS)",27,18,=+3,KND,CS,-,Wall bounce
"f, n, d, d/f+4",m,18,16,-18,Launch(JG?),Launch(JG?),-,
"f, n, d/f+4",m,18,16,-10,Launch(JG?),Launch(JG?),-,
FC+1,Sm (TC),5,10,-5,=+6,=+6,-,
FC+2,Sm (TC),8,11,-4,=+7,=+7,-,
FC+3,l (TC),12,16,-14,-3,-3,-,
FC+4,l (TC),10,12,-15,-4,-4,-,
in rage d+3+4,lm,"6,9",12,-4~-3,0~+1,0~+1,-,Rage drive
"in rage d+3+4, 4","lm, m (TJ)(RFF)","6,9,27",14,=+6s~+8s,JG,JG,-,Rage drive
in rage LFS or RFS d+3+4,m,55,20,-7,KND,KND,-,Rage art
"in rage LFS u/f+3, 4, 3+4","m (TJ), m, hh","15,14,17,27",20,=+4~+5,KND,KND,-,Rage drive
"in rage u/f+3, 4, 3+4","m (TJ), m, hh","15,14,17,27",20,=+4~+5,KND,KND,-,Rage drive
LFF BT 4,m(RFF),20,14,-13~-11,Launch (JG?),Launch (JG?),-,
LFS 1,h(LFF),7,13,=+5,=+7,=+7,-,
LFS 1+4,! (TJ)(LFF),80,66,KND,KND,KND,-,
"LFS 1+4 , b, b (Cancel)",(LFF),,66,,,,-,
LFS 2,m(RFF),15,16,-2,=+9,=+9,-,
LFS 3,m(LFF),10,14,-13,-7,-2,-,
LFS 3+4,(RFS),,18,,,,-,
"LFS 3, 3","m, m(LFF)","12,15",14,-14,KND,KND,-,
"LFS 3, 4","m, h, (RFS)","12,15",14,=+8~+12,=+19~+23g,=+19~+23g,-,
"LFS 3, d/f or f+4","m, h(LFF)","12,23",14,-4~+2y,KND,KND,-,
"LFS 3, F","m, (LFS)",12,14,=+2,=+8,=+13,-,
LFS 4,"h (TJ), (RFS)",24,14,=+2~+4,KND,KND,-,
LFS b+1,m,18,15,-13,0,CS (0),-,
LFS b+3,m (TJ)(RFF),23,20,-12~-10,=+14~+16kg,=+14~+16gk,-,"Homing, Tail spin, Power crush"
LFS b+4,m(RFF),28,16,-8~-7,=+7~+8,CS,-,
LFS d or d/f+4,l (TC)(LFF),12,28,-23,KND,KND,-,
LFS d+3,l(LFF),7,16,-17,-6,-6,-,
"LFS d+3, 4","l, h, (RFS)","7,10",16,=+8~+12g,=+14~+18g,=+19~+23,-,
LFS d/b+4,l(RFF),17,20,-12~-11,=+4~+5,KND,-,
LFS d/f+3,m(LFF),17,22,-12~-11,=+1~+2,CS,-,
"LFS d/f+3, 4","m, m(LFF)","17,23",22,-14~-13,KND,KND,-,
"LFS d/f+3, f (Cancel)",(LFS),,22,,,,-,
LFS f or b or u or d,(Special),,1,,,,-,
LFS f+3,"m, (LFS)",23,19,=+3~+4,KND,CS (20~21),-,
LFS f+4,m(RFF),17,16,-7~-5,=+1~+3,=+4~+6,-,
"LFS f+4, 3","m, h (TJ)(RFF)","17,26",17,=+3~+5,KND,KND,-,
LFS u/f+3,m (TJ)(LFF),13,28,-6~-5,KND,KND,-,
LFS u/f+3+4,mh (TJ)(LFF),"10,8",14,-10,=+1,=+1,-,
