Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,Tracking,Notes
1,h,7,10,=+1,=+8,=+8,-,
1,h,7,10,=+1,=+8,=+8,-,
1+2,mmh,"5,5,20",12,-14,KND,KND,-,12f punish
1+3+4,(Special),,19,,,,-,
"1, 2","h, h","7,12",10,-2,=+3,=+7,-,
"1, 2, 3","h, h, m","7,12,20",10,0~+2,KND,KND,-,
"1, 2, 4","h, h, h","7,12,30",10,-4~-2,KND,KND,-,Tail spin
"1, 3","h, h","7,10",10,-6,=+4,=+4,-,
"1, 3, 2","h, h, m","7,10,10",10,-1,=+4,=+4,-,
"1, 3, 2, 1","h, h, m, m","7,10,10,10",10,-7,=+7,=+7,-,
"1, 3, 2, 1, 4","h, h, m, m, l","7,10,10,10,
10",10,-13~-12,=+3~+4,=+3~+4,-,
"1, 3, B","h, h, (Special)","7,10",10,-6,=+4,=+4,-,
"1, 3, F","h, h, (CDS)","7,10",10,-7,=+3,=+3,-,
"1, 3~3","h, m","7,20",10,=+6~+8,KND,KND,-,
"1, 3~3d/f+3","h, m, m","7,20,20",10,-14,KND,KND,-,
"1, d+3","h, l","7,7",10,-12~-11,-1~0,-1~0,-,
"1, d+3, 4","h, l, l","7,7,17",10,-13,=+3,KND,-,
2,h,9,10,0,=+9,=+9,-,
2,h,9,10,0,=+9,=+9,-,
"2, 1","h, m","9,9",10,-3~-2,=+6~+7,=+6~+7,-,
"2, 1, 4","h, m, m","9,9,18",10,-9~-7,=+2~+4,=+2~+4,-,
"2, 1, 4~4","h, m, l","9,9,20",10,-31,KND,KND,-,
"2, 4","h, h","9,20",10,-9~-6,KND,KND,-,10f punish
3,h,19,14,-7,=+4,=+4,-,
3,h,19,14,-7,=+4,=+4,-,
3+4,h (throw),"10(,24)",20,-9,Throw(KND),Throw(KND),-,Power crush
"3, 1","h, h","19,7",14,-1,=+7,=+7,-,
"3, 1, 4","h, h, l","19,7,18",14,-13,=+3,KND,-,
"3, 1, F (to ZEN)","h, h (ZEN)","19,7",14,=+4,=+12,=+12,-,
4,h,18,13,-9~-8,=+16~+17kg,KND,-,"Homing, Tail spin"
4,h,18,13,-9~-8,=+16~+17kg,KND,-,"Homing, Tail spin"
4~3 or WS+4~3,m (TJ),27,14,-14~-4,KND,KND,-,
b+1 (to CDS),(Special) (TC)(CDS),,5,,,,-,
b+1 (to CDS),(Special) (TC)(CDS),,20,,,,-,
b+2,m,12,15,-11~-10,0~+1,0~+1,-,
b+2,m,12,15,-11~-10,0~+1,0~+1,-,
"b+2, 1","m, m","12,10",15,-9~-8,=+2~+3,=+2~+3,-,
b+3,m,17,16,-6,=+5,CS,-,
b+3,m,17,16,-6,=+5,CS,-,
"b+3, f","m, (CDS)",17,15,-2~-1,=+9~+10,CS,-,
b+4,m,21,17,-7~-6,KND,KND,-,
b+4,m,21,17,-7~-6,KND,KND,-,
"b, f+2",m,15,15,-7~-6,=+4~+5,FS (+11~+12g) 24~25,-,
"b, f+2, 1","m, h","15,10",15,-5,=+6,=+6,-,
"b, f+2, 1, 2","m, h, m","15,10,20",15,-5~-4,KND,KND,-,
"b, f+2, 3","m, m","15,17",15,-12,=+6,CS,-,
"b, f+2, 3, f","m, m, (CDS)","15,17",15,-1,=+17g,CS,-,
BT 1 or 2,h,15,8,-8,=+3,=+3,-,
BT 3 or 4,h,25,10,-8,KND,KND,-,
BT d+1 or 2,Sm,10,10,-2,=+9,=+9,-,
BT d+3 or 4,l,12,10,-11,=+3,=+3,-,
CDS F,(Special),,5,,,,-,
d+1,m,24,21,-7,KND,KND,-,Wall bounce
d+1,m,24,21,-7,KND,KND,-,Wall bounce
d+1+2 (to ZEN),(Special) (TC)(CDS),,10,,,,-,
d+2,Sm (TC),8,11,-4,=+7,=+7,-,
d+3,l,7,15,-13~-12,-2~-1,-2~-1,-,
d+3,l,7,15,-13~-12,-2~-1,-2~-1,-,
d+3+4,mm,"5,20",15,-19~-17,Launch (JG?),Launch (JG?),-,15f punish
d+3+4 (Second hit miss),m,5,15,-30,-19,-19,-,
