Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,GIF,Notes
1,H,7,10,=+1,=+8,=+8,-,
1+2,M,14,18,-5,=+1,=+6,-,Floor Break.
"1+2,4","M,H","14,12",18,-12,-1,=+4,-,"NC, Jails."
"1+2,4,4","M,H,M","14,12,20",18,-20,KND,KND,-,"(1+2),4,4 is NCC."
"1+2,4,b,f+1+2","M,H,M","14,12,25",18,-10,KND,KND,-,"(1+2),4,b,f+1+2 is NCC, Wall Break/Splat."
1+3+4,-,,-,-,-,-,-,Taunt.
1+4,"M,L","12,21",18,-26,KND,Launch,-,NC.
"1+4,D",M,12,18,-18,-7,-7,-,
"1,1","H,M","7,12",10,-9,=+2,=+2s,-,NC.
"1,1,1","H,M,M","7,12,20",10,-14,KND,KND,-,"NCC, Wall Break/Splat."
"1,1,2","H,M,M","7,12,20",10,-9,KND,Launch,-,Wall Break/Splat.
"1,2","H,H","7,8",10,-1,=+5,=+5,-,"NC, Jails."
"1,2,1","H,H,M","7,8,10",10,-13,=+3,=+3,-,
"1,2,1,1","H,H,M,L","7,8,10,20",10,-14,KND,KND,-,
"1,2,3 (or 1,2,4)","H,H","7,8",10,=+1,=+7,=+7,-,Enters Evasive Spin (CES).
2,H,10,10,-2,=+7,=+7,-,
2+3+4,-,,-,-,-,-,-,Welcome.
"2,B (only during front hit)",H,10,12,-8,=+5,=+5,-,Spin Behind (SB).
3,H,17,14,-14,KND,KND,-,Wall Break/Splat
3+4 (or u+3+4),-,,?,-,-,-,-,Evasive Spin (CES).
4,H,15,11,-12,-3,Launch,-,
"4,4","H,L","15,12",11,-16,-2,-2,-,
"4,4,1","H,L,M","15,12,21",11,-14,Launch,Launch,-,"(4),4,1 is NCC, Wall Splat."
"4,4,4","H,L,H","15,12,23",11,-6,KND,KND,-,"(4),4,4 is NCC, Wall Break/Splat."
"4,4,[1,2]","H,L,M","15,12,20",11,-9,KND,Launch,-,Wall Break/Splat.
"4,4,d+4","H,L,L","15,12,10",11,-19,-8,-8,-,"(4),4,d+4 is NCC."
4~2,"L,H","7,5",15,-12,-4,=+1,-,
"4~2,1","L,H,M","7,5,21",15,-16,KND,KND,-,"NCC, Wall Break/Splat."
b+1,M,18,18,-9,=+5s,Launch,-,Floor Break.
b+1+2,M,23,21,-13,Launch,Launch,-,
b+2,H,14,13,-10,=+1,=+1,-,
"b+2,3","H,H","14,15",13,-12,=+4,=+4,-,NC.
"b+2,3,1+2","H,H,M","14,15,21",13,-13,KND,KND,-,"(b+2),3,1+2 is NCC, Wall Break/Splat."
b+3,L,17,27,-13,=+4,Launch,-,
"b+3,4","L,L","17,10",27,-8,Launch,Launch,-,
b+4,H,20,18,=+1,Launch,Launch,-,"Tail Spin, Homing."
CES 1,H,14,15,=+0,=+6,Launch,-,NOTE: X(~Y) Y is startup when doing raw CES else add X to the frames given by moves entering CES.
CES 1+2,M,18,19,-9,=+5s,Launch,-,Floor Break.
CES 2,M,20,18,-9,=+11,=+11,-,"Tail Spin, Wall Break/Splat."
CES 3,M,10,18,-17,-7,-7,-,
"CES 3,1+2","M,M","10,27",18,-13,KND,KND,-,"NC, Wall Break/Splat."
CES 4,L,14,20,-26,=+6,=+6,-,
"CES 4,1+2","L,M","14,18",20,-16,KND,KND,-,"NC, Wall Break."
d+1,SM,5,10,-5,=+6,=+6,-,
d+1+2,M,27,16,-14,KND,KND,-,Wall Break/Splat.
d+2,SM,8,11,-4,=+7,=+7,-,
"d+2,3","SM,M","8,13",11,-10,=+1,=+1,-,NCC.
d+3,L,10,13,-12,-1,=+4s,-,
d+4,L,12,20,-16,-2,-2,-,
"d+4,1","L,M","12,21",20,-14,Launch,Launch,-,"NCC, Wall Splat."
"d+4,4","L,H","12,23",20,-6,KND,KND,-,"NCC, Wall Break/Splat."
"d+4,[1,2]","L,M","12,20",20,-9,KND,Launch,-,Wall Break/Splat.
"d+4,d+4","L,L","12,10",20,-19,-8,-8,-,NCC.
"d,d/f+1",M,14,11,-6,=+0,=+5,-,
