Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,GIF,Notes
1,h,7,10,=+1,=+8,=+8,-,
1+2,"mm(, Sm)","3,7(,20)",12,-14~-13,KND,KND,-,
1+4,Sm,27,36,-29~+10,=+3~+42,=+3~+42,-,
"1, 1","h, h","7,6",10,-3~-2,=+6~+7,=+6~+7,-,
"1, 1, 2","h, h, m","7,6,12",10,-17,KND,KND,-,10f punish
"1, 2","h, h","7,8",10,-3,=+5,=+5,-,
"1, 2, 2","h, h, h","7,8,12",10,-12,=+4,=+4,-,
2,h,10,12,-3,=+8,=+8,-,
2+3,Sm,10,22,-44~-12,KND,KND,-,
2+3+4,(Special),,17,,,,-,
"2, 1","h, m","10,10",12,-5,=+7,=+7,-,
3,m,14,15,-8~-7,=+8~+9,=+8~+9,-,
"3, 1","m, m","14,20",15,-13~-12,=+8k,=+8k,-,Tail spin
"3, 2","m, h","14,17",15,-1~0s,KND,KND,-,
4,h,18,11,-9~-8,=+5~+6,Launch (JG?),-,
b+1,h,13,20,-16,-5,-5,-,
b+1+2,"Attack returned(, m, Sm)","0,30",50,-13,TKF(+17),TKF(+17),-,Power crush
"b+1, 2","h, m","13,20",20,-14~-13,=+2~+3,=+2~+3,-,
b+2,m,12,15,-9~-8,=+12~+13kg,=+12~+13kg,-,"Tail spin, Homing"
b+3,m,16,16,-8,=+3,=+3,-,
b+3+4 or RSS B,(Special) (TJ),,1,,,,-,
b+4,m?,20,19,-13,=+9,CS,-,
"b, f+2",m,12,15,-12~-11,-~01,FS (+6~+7) 19~20,-,
"b, f+2, 1","m, m","12,9",15,-14~-13,-1~0,-1~0,-,
"b, f+2, 1, 1+2","m, m, m(, Sm)","12,9,13(,20)",15,-14~-13,KND,KND,-,
"b, f+2, 1, 4","m, m, h","12,9,20",15,-6~-5,=+13kg,=+13kg,-,"Tail spin, Homing"
BT 1 or 2,h,15,8,-8,=+3,=+3,-,
BT 3 or 4,h,25,10,-8,KND,KND,-,
BT d+1 or 2,Sm,10,10,-2,=+9,=+9,-,
BT d+3 or 4,l,12,10,-11,=+3,=+3,-,
d+1,m,15,16,-9~-8,=+2~+3,=+5~+6s,-,
"d+1, 2","m, m","15,25",16,-13~-12,Throw,Throw,-,
d+2,Sm (TC),8,11,-4,=+7,=+7,-,
d+3,l (TC),12,16,-17,-3,-3,-,
d+3+4,l,7,12,-13,-2,-2,-,
d+4,l,10,16,-13~-12,-2~-1,-2~-1,-,
d/b+1,Sm (TC),5,10,-5,=+6,=+6,-,
d/b+1+2,m,20,24,-4~-3,KND,KND,-,
d/b+2,l (TC),18,23,-14s,-3,=+6s,-,
"d/b+2, 3","l, l","15,12",23,-14~-13s,0~+1,=+6~+7s,-,
"d/b+2, 3, 4","l, l, l (TC)","15,12,12",23,-14~-13s,=+5~+6s,KND,-,
d/b+3,l,14,17,-14,=+2s,=+2s,-,
d/b+4,l,17,20,-12,=+4,KND,-,
d/f+1,m,10,13,-3~-2,=+6~+7,=+6~+7,-,
"d/f+1, 2","m, m","10,21",13,-13s,KND,KND,-,13f punish
d/f+2,"m?(, Sm)","20(,9)",18,-24,Launch,Launch,-,18f punish
d/f+3,m,14,14,-9,=+2,=+2,-,
d/f+4,m,16,15,-5,=+6,=+6,-,
f+1,h,7,10,=+1,=+8,=+8,-,
f+2,h,25,17,-9~-8,KND,KND,-,Power crush
f+3,m,13,18,-8,0,0,-,
"f+3+4 or f, f+3+4 or b+3+4, f",(RSS) (TJ),,1,,,,-,
"f+3, f","m, (Special) (TJ)",13,18,=+5,=+18g,=+18g,-,
f+4,h,20,16,-8~-7,=+11~+12kg,=+11~+12kg,-,"Tail spin, Homing"
"f, F+2","m(, (throw))","17(,20)",13,-13,Throw(KND),Throw(KND),-,Power crush
"f, F+4",m,21,20,-7~-6,KND,KND,-,
"f, f, f+2",m,24,15,-4~-3,KND,KND,-,
FC+1,Sm (TC),5,10,-5,=+6,=+6,-,
FC+2,Sm (TC),18,11,-4,=+7,=+7,-,
FC+3,l (TC),12,16,-17,-3,-3,-,
FC+d/b or d+4,l,10,16,-15~-14,-4~-3,-4~-3,-,
FC+d/f+4,l,10,12,-15,-4,-4,-,
in rage d+1+2,m,55,20,-22,KND,KND,-,Rage art
"in rage f, F+1+2","m(, Sm)","17,20",13,-12 (wl-6),Launch,Launch,-,Rage art
Opponent Down d+2,l(On grounded opponent),16,17,-13~-12,-2~-1,-2~-1,-,
RSS 1,m,25,19,-9,KND,KND,-,Wall bounce
RSS 1+2,m,20,22,=+4,=+8,KND,-,
RSS 1+3,"m(Throw), m",15,46,,Throw(+8),,-,
RSS 2,h,20,15,-10,Launch (JG?),Launch (JG?),-,
RSS 3,m,20,23,-7~-3,=+7s~+11s,=+7s~+11s,-,
RSS 4,l,17,18,-31,=+5s(KND),=+5s(KND),-,
"RSS 4, 2","l, m","17,20",18,-16~-15,KND,KND,-,
RSS f+1+2,!,30,20,CS,CS,CS,-,
SS+1,h,7,10,=+1,=+8,=+8,-,
SS+2,h,10,12,-3,=+8,=+8,-,
SS+3,m,14,15,-8~-7,=+8~+9,=+8~+9,-,
SS+4,h,18,11,-7~-6,=+5~+6,Launch (JG?),-,
u+3,m (TJ),16,15,-20~-19,KND,KND,-,
u+4,m,15,15,-13~-12,KND,Launch (JG?),-,
u/b or u or u/f+1,m (TJ),12,18,-8,=+3,=+3,-,
