Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,Tracking,Notes
(u/f)4~3,mm (TJ),"18,25",31,-11~-9,KND,KND,-,
1,h,7,10,1,8,8,-,
1,h,7,10,1,8,8,-,
1+2,mm,"5,20",12,-14,KND,KND,-,
"1, 1","h, h","7,6",10,-1,8,8,-,
"1, 1, 2","h, h, m","7,6,12",10,-17,KND,KND,-,10f punish
"1, 2","h, h","7,8",10,-1,7,7,-,
"1, 2, 2","h, h, h","7,8,12",10,-12,4,4,-,
"1, 2, 4","h, h, l","7,8,18",10,-14~-13,-3~-2,0~+1s,-,
"1, 2, 4, 3","h, h, l, m","7,8,18,25",10,-2,KND,CS,-,
2,h,12,12,-3,8,8,-,
2,h,12,12,-3,8,8,-,Rage art
"2, 2","h, m","12,24",12,-10~-9,=+6~+7,CS,-,12f punish
3,h,14,14,-8,4,4,-,
3 or 3+4,h,14,14,-8,4,4,-,
"3, 1","h, h","14,7",14,-1,7,7,-,
"3, 1, 4","h, h, m","14,7,17",14,-6~-5,=+8~+9,CS,-,
4,h,18,12,-9,2,CS,-,
4,h,18,12,-9,2,CS,-,
b+1,h,13,11,-10~-9,=+1~+2,=+1~+2,-,
b+1,h,13,11,-10~-9,=+1~+2,=+1~+2,-,
b+1+2,m,21,22,-12,5,CS(13),-,
b+1+4,!,25,43,Launch,Launch,Launch,-,
B+1+4,!,60,63,Launch,Launch,Launch,-,
"b+1, 2","h, m","13,20",11,-14,KND,KND,-,11f punish
b+2,m,12,14,-8~-7,=+4~+5,=+4~+5,-,
b+2,m,12,14,-8~-7,=+4~+5,=+4~+5,-,
"b+2, 4","m, h","12,12",14,-3,8,8,-,
"b+2, 4, 1","m, h, m","12,12,22",14,-14~-12,KND,KND,-,
b+3,h,15,18,-8~-7,=+3~+4,=+3~+4,-,
b+3,h,20,18,-8~-7,=+3~+4,=+3~+4,-,
"b+3, 1","h, h","15,10",18,0,6,6,-,
"b+3, 1, 4","h, h, l","15,10,10",18,-10~-9,=+7~+8,=+7~+8,-,
"b+3, 1, 4, 1","h, h, l, m","15,10,10,15",18,-14,KND,KND,-,
"b+3, 1, 4, 3","h, h, l, l","15,10,10,12",18,-13,1,1,-,
