Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,GIF,Notes
1,h,7,10,=+1,=+8,=+8,-,
1+2+3+4,(Special),,22,,,,-,
"1+2+3+4, 2",m,20,16,-18~-17,Launch (JG?),Launch (JG?),-,
"1, 1","h, m","7,10",10,-8~-7,0~+1,0~+1,-,
"1, 1, 1","h, m, m","7,10,17",10,-12~-11,=+3~+4s,KND,-,
"1, 2","h, h","7,9",10,-1,=+7,=+7,-,
"1, 4","h, l","7,10",10,-12~-11,=+1~+2,=+1~+2,-,
2,h,10,10,0,=+8,=+8,-,
"2, 1","h, m","10,7",10,-7~-6,=+4~+5,=+4~+5,-,
"2, 1, 3","h, m, m","10,7,20",10,-12~-11,KND,KND,-,
"2, 1, 4","h, m, h","10,7,27",10,-7~-6,KND,KND,-,Tail spin
3,h,16,15,-12,=+5,=+5,-,
"3, D",h,16,15,-12,=+5,=+5,-,
4,h,27,17,-7~-6,KND,KND,-,Tail spin
b+1,m,17,15,-9~-7,=+4~+6,=+6~+8,-,"Homing, Tail spin"
b+1+2,mm?,"8,20",21,-11~-10,=+6k,=+6k,-,Homing
b+2,m,12,16,-7,=+4,=+4,-,
b+2+3,!,45,84,KND,KND,KND,-,
"b+2, 1","m, m","12,17",16,-10,=+3,CS,-,
"b+2, 3","m, h","12,21",16,-8~-7,KND,KND,-,
b+3,m,14,17,-12,=+4,=+4,-,
"b+3, 4","m, h","14,20",17,-12~-11,KND,KND,-,
"b+3, F","m, (SEN)",14,17,-5,=+11,=+11,-,
b+4,m,23,15,-8,=+8,Throw(KND),-,
b+4(CH in front),"m, (throw)","27,23",15,,,Throw(KND),-,
BT 1 or 2,h,15,8,-8,=+3,=+3,-,
BT 3 or 4,h,25,10,-8,KND,KND,-,
BT d+1 or 2,Sm,10,10,-2,=+9,=+9,-,
BT d+3 or 4,l,12,10,-11,=+3,=+3,-,
d+1,Sm (TC),5,10,-5,=+6,=+6,-,
d+1+2,l (TC),25,24,-20~-19,KND,KND,-,
d+2,m,17,18,0~+1s,=+8~+9s,KND,-,
d+3,l,8,15,-14,-3,-3,-,
"d+3, 1","l, hh","8,4,10",15,-7,=+4,=+4,-,
d+4,l (TC),7,12,-13,-2,-2,-,
d/b+1,l (TC),9,17,-12,-1,-1,-,
d/b+1+2,m?,18,26,-14~-13,=+5~+6,CS,-,
"d/b+1, 3","l (TC), h","9,10",17,-12,-1,-1,-,
"d/b+1, 3, D","l (TC), h","9,10",17,-12,-1,-1,-,
d/b+2,m,12,15,-8,=+3,=+3,-,
"d/b+2, 1","m, m","12,8",15,-8~-7,=+6~+7,=+6~+7,-,
"d/b+2, 3","m, m","12,15",15,-13,0,=+23g(KND),-,
"d/b+2, 3* (Very long hold)","m, m","12,25",15,=+8,KND,KND,-,
"d/b+2, F","m, (SEN)",12,15,-5,=+6,=+6,-,
d/b+3,l (TC),12,16,-17,-3,-3,-,
d/b+4,l (TC),17,21,-26,=+5~+6s,KND,-,
d/f+1,m,14,13,-1,=+5,=+5,-,
d/f+1+2,m,25,25,-12,KND,KND,-,Power crush
d/f+2,m?,15,16,-8,=+3a,=+3a,-,
"d/f+2, 1","m, h","15,20",16,-7~-6,KND (KND),KND,-,Tail spin
d/f+3,m,15,16,-7,=+3,=+3,-,
"d/f+3, 3","m, m","15,20",16,-20~-19,KND,KND,-,
"d/f+3, D","m, (DEN)",15,16,-4(-8),=+6,=+6,-,
d/f+4,m,16,15,-8~-7,=+2~+3,=+2~+3,-,
DEN 1,h,14,11,-3~-2,=+8~+9,=+8~+9,-,
DEN 1+2,h,20,12,-10~-9,KND,KND,-,Tail spin
"DEN 1, 2","h, h","14,20",11,-6~-5,KND,KND,-,
"DEN 1, F","h, (SEN)",14,11,-5~-4,=+6~+7,=+6~+7,-,
DEN 2,m?,17,17,-8~-6,=+6~+8,CS,-,
DEN 2+3,h(Throw),"20,20",12,,Throw(KND),,-,
DEN 2+3 (Opponent in air),Air throw,"23,8",12,,Throw(KND),,-,
DEN 3,m,25,27,=+6~+9,KND,KND,-,
f+1,h,10,13,-5,=+6,=+6,-,
f+1+2,m,20,15,-14~-13,CS,CS,-,
f+1+4,m,28,13,-18,ED,ED,-,
"f+1, 2","h, m, (SEN)","10,11",13,-5,=+6,=+6,-,
"f+1, 2, 3","h, m, m, (DEN)","10,11,20",13,-9,KND,KND,-,
f+2,h,10,12,-6,=+3,=+3,-,
"f+2, 1","h, h, (SEN)","10,12",12,-5,=+6,=+6,-,
"f+2, 4","h, h","10,22",12,-12~-11,KND,KND,-,
f+3 (to DEN),(DEN),,12,,,,-,
f+3 or Form certain moves,(Special),,14,,,,-,
f+4,m,12,17,-9,=+7,=+7,-,
"f+4, 1","m, m","12,8",17,-9~-8,=+2~+3,=+2~+3,-,
"f+4, 1, 2","m, m, m","12,8,8",17,-10,=+2,=+2,-,
"f+4, 1, 2, 1","m, m, m, m","12,8,8,20",17,-14~-13,ED,ED,-,
"f, b+2",m,10,14,-12,0,0,-,
"f, b+2, 1","m, m","10,10",14,-18~-17,BU,BU,-,
"f, F+1+2",m,20,16,-11~-10,KND,KND,-,
"f, F+2",m,20,21,-13~-12,Launch,Launch,-,
"f, F+2 When hit f","m, (SEN)",20,21,,Launch,Launch,-,
"f, F+3",m,22,18,-8~-7,KND,KND,-,
"f, F+3+4",ll,"11,15",19,-16~-15,0~+1s,0~+1s,-,
"f, F+4",l,14,21,-31,=+5,=+5,-,
"f, F+4, 3","l, m","14,20",21,-16,0,0,-,
"f, f, f+3",m (TJ),30,20,=+8~+14g,KND,KND,-,
FC+1,Sm (TC),5,10,-5,=+6,=+6,-,
FC+2,Sm (TC),8,11,-4,=+7,=+7,-,
FC+3,l (TC),12,16,-17,-3,-3,-,
FC+4,l (TC),10,12,-15,-4,-4,-,
FC+d/f+1+2,ll,"10,14",18,-12~-11,=+1~+2,=+1~+2,-,
in rage 1+2,m,55,20,-22,KND,KND,-,Rage art
in rage SEN 1+2,"m, (DEN)",27,12,=+7~+8,KND,KND,-,Rage art
"in rage SEN 1+2, b+2+3","m, !","27,33",12,KND,KND,KND,-,
Opponent Down d+3+4,l,16,22,-14~-13,-3~-2,-3~-2,-,
"Opponent Down d+3+4*, F","l, (SEN)",16,22,-14~-13,-3~-2,-3~-2,-,
SEN 1,m,27,12,-10~-9,KND,KND,-,
SEN 2,l,20,22,-13~-12,=+3~+4s,KND,-,
SEN 3,m,20,14,-14~-12,Launch (JG?),Launch (JG?),-,
SEN d/f+1,m,20,14,-4~-3s,=+4~+5s,=+4~+5s,-,
SEN only from certain moves,(SEN),,16,,,,-,
SS+1,h,7,10,=+1,=+8,=+8,-,
SS+2,m,20,16,-7~-6,KND,KND,-,
SS+3,h,16,15,-12,=+5,=+5,-,
SS+4,h,27,17,-7~-6,KND,KND,-,Tail spin
u or u/f+4,m (TJ),20,25,-9~-7,KND,KND,-,
u/b or u or u/f+2,h,17,15,-12~-11,=+9~+10g,=+9~+10g,-,
u/b or u or u/f+3,"m (TJ)(, m)","12(,14)",16,-26~-25 (13~6a),Launch,Launch,-,
u/b or u or u/f+3+4,(Special) (TJ),,0,,,,-,
u/b or u or u/f+3+4*,h(Throw),40(50),9,,Throw(KND),,-,
u/b or u+1,m (TJ),12,18,-8,=+3,=+3,-,
u/b+4,m (TJ),20,25,-9~-7,KND,KND,-,
u/f+1,h,12,13,-16,-5,-5,-,
"u/f+3+4, 1",l,20,23,-13~-12,=+3~+4s,KND,-,
"u/f+3+4, 4",m,"20(,20)",17,-8~-7,=+8~+9s,Throw(KND),-,
"u/f, n+4",m,25,23,-11(-13),Launch (JG?),Launch (JG?),-,
WS+1,m,16,15,-12~-11,Launch,Launch,-,
WS+1 When hit f,"m, (SEN)",16,15,,Launch,Launch,-,
WS+2,m,10,13,-9~-8,=+2~+3,=+2~+3,-,
"WS+2, 1","m, m","10,17",13,-12~-11s,=+2~+3s,KND,-,
"WS+2, D","m, (DEN)",10,13,-12~-11,-1~0,-1~0,-,
"WS+2, F","m, (SEN)",10,13,-5~-4,=+6~+7,=+6~+7,-,
WS+3,h,30,20,=+7,KND,KND,-,
WS+4,m,16,11,-6~-5,=+5~+6,=+5~+6,-,
