Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,GIF,Notes
1,h,7,10,=+1,=+8,=+8,-,
1+2+3+4,(Special),,15,,,,-,
"1+2+3+4, 1+2*",(Special),,15,,,,-,
"1+2+3+4, 1+2*, 2",h,24,14,-4~-3,,KND,-,
"1, 1","h, h","7,5",10,-7,-8,-8,-,
"1, 1, 1","h, h, h","7,5,5",10,-7,-8,-8,-,
"1, 1, 1, 1","h, h, h, h","7,5,5,5",10,-7,-8,-8,-,
"1, 1, 1, 1, 1","h, h, h, h, h","7,5,5,5,5",10,-7,"=+13(SH) 1CH,+5",=+13(SH),-,
"1, 2","h, h","7,8",10,-1,=+6,=+6,-,
"1, 2, 2","h, h, m","7,8,10",10,-8,=+4,=+4,-,10f punish
"1, 2, 2, 1+2","h, m, m","7,8,10,21",10,-13~-10,KND,KND,-,
"1, 2, 2, 2","h, h, m, h","7,8,10,10",10,-9,=+4,=+4,-,
"1, 2, 2, 2, b, f","h, h, m, h, (DSS)","7,8,10,10",10,-4,=+9,=+9,-,
"1, 2, 3","h, h, m","7,8,10",10,-6~-5,=+5~+6 (KND),KND,-,
"1, 2, b, f","h, h, (DSS)","7,8",10,-2,=+5,=+5,-,
"1, 2, u/f+3","h, h, (Special) (TJ)","7,8",10,-23,-16,-16,-,
"1, 2, u/f+3, 4","h, h, (Special) (TJ), m","7,8,20",10,-9~-8,Launch (JG?),Launch (JG?),-,
2,h,8,10,0,=+6,=+6,-,
"2, 2","h, m","8,10",12,-8,=+4,=+4,-,
"2, 2, 1+2","h, m, m","8,10,21",12,-13~-10,KND,KND,-,
"2, 2, 2","h, m, h","8,10,10",12,-9,=+4,=+4,-,
"2, 2, 2, b, f","h, m, h, (DSS)","8,10,10",12,-4,=+9,=+9,-,
"2, b+2","h, h","8,8",12,-4,=+7,=+7,-,
"2, b+2, 1","h, h, h","8,8,8",12,-3~-2,=+3~+4,=+3~+4,-,
"2, b+2, 1, 2","h, h, h, m","8,8,8,21",12,-3s,KND,KND,-,
"2, b+2, 1, 2, d","h, h, h, m","8,8,8,21",12,-3s,KND,KND,-,
3,h,12,12,-9,=+2,=+2,-,
3+4,mm (TJ),"5,12",14,-12,KND,KND,-,
"3+4, 4","mm (TJ), h","5,12,17",14,-13~-11,=+5~+7k,=+5~+7k,-,14f punish
"3, 3","h, m","12,17",12,-14,-3,KND,-,
"3, 4","h, h","12,20",12,-10,KND,KND,-,Tail spin
4,h,14,11,-9,=+7,Launch (JG?),-,
"4, 3","h, h","14,12",11,-14~-13,-5~-4,-5~-4,-,
"4, 3, 4","h, h, h","14,12,14",11,-6,-1,Launch (JG?),-,
"4, 3, 4, b, f","h, h, h, (TFS)","14,12,14",11,=+7,=+12,Launch (JG?),-,11f punish
"4, 3, b, f","h, h, (TFS)","14,12",11,=+7,=+16g,=+16g,-,
"4, u+3","h, m (TJ)","14,23",23,-1~+1,KND,KND,-,
b+1,m,12,14,-9,=+2,=+2,-,
b+1+2 (to TFS),hmh or m punch parry((Special))(TFS),,3,,=+11,,-,
"b+1, 2","m, m","12,12",14,-14,0,0,-,
"b+1, 2, 2","m, m, m","12,12,22",14,-14~-13,KND,KND,-,
"b+1, 2, b, f","m, m, (DSS)","12,12",14,-10,=+4,=+4,-,
"b+1, b, f","m, (DSS)",12,14,-7,=+4,=+4,-,
b+2,m,12,16,-8,=+4,=+4,-,
"b+2, 1","m, h","12,15",16,-1~0,=+16~+17kg,=+16~+17kg,-,Tail spin
"b+2, 2","m, h","12,10",16,-9,=+4,=+4,-,
"b+2, 2, b, f","m, h, (DSS)","12,10",16,-4,=+9,=+9,-,
"b+2, 3","m, l","12,10",16,-12,-1,-1,-,
"b+2, 3, 4","m, l, m","12,10,23",16,-7~-5,Launch,Launch,-,
"b+2, 3, 4, b, f","m, l, m, (TFS)","12,10,23",16,-8~+6,Launch,Launch,-,
"b+2, 3, d+4","m, l, l?","12,10,21",16,-37,KND,KND,-,
b+3,m,27,23,-12~-9,KND,KND,-,"Homing, Tail spin"
b+3+4,m,25,23,-18~-17,KND,KND,-,
