Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,GIF,Notes
"(back to wall) b, b, u/b",m,21,36,0s,KND,KND,-,
(grounded face down) 2,m,23,20,-7,=+4,=+4,-,
(grounded face down) d+2,l (throw),"18(,10)",17,-24,throw,throw,-,
(opponent grounded) d/b+4,l,23,19,-14,-3,-3,-,
1,h,7,10,=+1,=+8,=+8,-,
1+2,m,0,15,-9,=+3,=+16,-,
"1, 2","h, h","7, 12",10,-1,=+5,=+5,-,
"1, 2, 3","h, h, m","7, 12, 12",10,-16,-5,-5,-,
"1, 2, 3+4","h, h, (special)7, 12",,10,-3,=+3,=+3,-,
"1, 2, 3+4, 3+4","h, h (special)","7, 12",10,-2,=+4,=+4,-,
"1, 2, 3, 1+2","h, h, m, h","7, 12, 12, 28",10,0s,=+4s,=+4s,-,
"1, 2, f+1","h, h, h","7, 12, 21",10,=+4,=+6,KND,-,
"1, d+2","h, m","7, 13",10,-9,=+7,=+7,-,
2,h,10,10,0,=+8,=+8,-,
"2, 1","h, h","10, 12",10,=+3,=+5,=+5,-,
"2, d+1+2","h, m","10, 22",10,-12,JG,JG,-,
3,h,28,17,-14,KND,KND,-,
3+4,(VTS) TC,,7,,,,-,
4,h,16,13,-5,=+6,JG,-,
b+1,m,10,21,-8s,=+2s,KND,-,
"b+1, 2","m, m","10, 15",21,-14s,KND,KND,-,
b+2,m,24,22,-9,=+1,KND,-,Homing
b+2+3,m! (throw),70,80,KND,KND,KND,-,"b,b to cancel"
"b+2+3, 1+2",m (throw),12(10),100,mid throw,mid throw,mid throw,-,
b+3,m,26,21,0,=+8,KND,-,
b+3+4,h,30,18,-14,KND,KND,-,Wall bounce
b+4,m,20,14,-9,=+2,KND,-,
"b, f+1+2","m, m","14, 16",15,-12,=+4,=+4,-,
BT 1 or 2,h,15,8,-8,=+3,=+3,-,
BT 3 or 4,h,18,10,-8,KND,KND,-,
BT d+1 or d+2,sm,10,10,-2,=+9,=+9,-,
BT d+3 or d+4,l,12,10,-11,=+3,=+3,-,
d+1,m,20,18,0s,=+5s,KND,-,
d+1+2,m (TC),22,19,-12,JG,JG,-,
d+2,m,15,16,-7s,=+7s,=+7s,-,
"d+2, 4","m, m","15, 21",16,-9,=+5,=+5,-,
d+3,l,18,16,-12,-1,-1,-,
d+4,l (TC),16,14,-16,-5,-5,-,
