Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,Tracking,Notes
1,h,7,10,=+1,=+8,=+8,-,
1+4,mm,"4,20",15,-5~-4,=+4~+5s,=+6~+7s (+8s),-,
"1, 2","h, h","7,10",10,-1,=+5,=+5,-,
"1, 2, 1","h, h, h","7,10,6",10,-3,=+4,=+4,-,
"1, 2, 1, 2","h, h, h, h","7,10,6,6",10,-10,=+1,=+1,-,
"1, 2, 1, 2, f+1+2","h, h, h, h, m","7,10,6,6,22",10,-14,KND,KND,-,
"1, 2, 1, 4","h, h, h, l (TC)","7,10,6,12",10,-13,-2,-2,-,
"1, 2, 3","h, h, m","7,10,15",10,-13,=+2,=+2,-,
"1, 2, 4","h, h, h","7,10,22",10,-6,KND,KND,-,Tail spin
"1, 2, f+1+2","h, h, m","7,10,22",10,-14,KND,KND,-,
"1, 2, u or D","h, h, (Special)","7,10",10,0,=+6,=+6,-,
"1, 4","h, h","7,17",10,-4,=+1,CS,-,
"1, 4, 1","h, h, m","7,17,21",10,-11~-10,=+15~+16kg,KND,-,Tail spin
2,h,10,10,=+1,=+7,=+7,-,
"2, 1","h, h","10,6",10,-3,=+4,=+4,-,
"2, 1, 4","h, h, l (TC)","10,6,12",10,-13,-2,-2,-,
"2, 3","h, m","10,15",10,-13,=+2,=+2,-,
"2, 4","h, h","10,22",10,-6,KND,KND,-,Tail spin
"2, f+1+2","h, m","10,22",10,-14,KND,KND,-,
3,h,14,14,-16,-5,-5,-,
"3, 3","h, l (TC)","14,10",18,-17,-6,-6,-,
"3, 3, 2","h, l (TC), m","14,10,10",18,-13~-11,Launch (JG?),Launch (JG?),-,
"3, 3, 4","h, l (TC), h","14,10,18",18,-6,=+5,Launch (JG?),-,
"3, 3, 4, 3","h, l (TC), h, m","14,10,18,20",18,=+2~+3s,=+5~+6s,KND,-,
"3, 4","h, h","14,20",18,-6,KND,CS,-,Tail spin
"3, d","h, (Special)",14,14,-27,-16,-16,-,
"3, d, 1+2","h, (Special), m","14,22",14,-11,KND,KND,-,
