Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,GIF,Notes
1,h,7,10,=+1,=+8,=+8,-,
"1, 2","h, h","7,12",10,-1,=+6,=+6,-,10f punish
"1, 2, 3","h, h, m","7,12,7",10,-25~-24,-14~-13,-14~-13,-,
"1, 4","h, l (TC)","7,8",10,-11,=+1,=+1,-,
2,h,10(12),10,0,=+6,=+6,-,
"2, 3","h, h","12,21",10,-12~-11,KND,CS,-,
"2, d+3","h, l (TC)","10,11",10,-12,-1,-1,-,
3,m,14,15,-7~-6,=+4~+5,=+4~+5,-,
3,m,14,15,-7~-6,=+4~+5,=+4~+5,-,
"3, 2","m, h","14,17",15,-3,=+7,KND,-,
4,h,17,12,-7,=+7,Launch (JG?),b,
b+1,h,12,12,-9~-8,=+2~+3,=+2~+3,b,Homing
"b+1, 2","h, h","12,21",12,-5~-4,=+8k~+9k,=+8k~+9k,b,12f punish
b+2,m,22,18,-5s,=+4s,=+4s,-,
"b+2, 1","m, m","22,22",18,-12,0s,KND,-,
"b+2, 1*","m, m","22,35",18,=+8~+9s,=+8~+9s,KND,-,
b+3,h,16,14,-6~-5,CS,CS,-,14f punish
b+4,l,14,20,-13~-12,=+3~+4,=+3~+4,-,
b+4,l,14,20,-13~-12,=+3~+4,=+3~+4,-,
"b, B+1+2",!,80,63,KND,KND,KND,-,
"b, f+1",h,22,28,-6~-3,KND,KND,-,
BT 1 or 2,h,15,8,-8,=+3,=+3,-,
BT 3 or 4,h,25,10,-8,KND,KND,-,
BT d+1 or 2,Sm,10,10,-2,=+9,=+9,-,
BT d+3 or 4,l,12,10,-11,=+3,=+3,-,
D(Hundred and sixty frames),(Special),,32,,,,-,
"D(Hundred and sixty frames)n, u+3+4 (On the way down)","m (TJ), m",48,45,-21~-11,-10~0s,-10~0s,-,
"D(Hundred and sixty frames)n, u+3+4 (On the way up)","m (TJ), m",48,13,-49~-44,Launch,Launch,-,
d+1,m,16,14,-9~-8,=+2~+3,=+3~+4s,-,
d+1+2,m?,30,12,-16~-15,KND,KND,-,
"d+1, 2","m, m","16,26",14,-17,KND,KND,-,
"d+1, 2 (Hold)","m, m","16,39",14,=+20g,KND,KND,-,
"d+1, 4","m, l","16,15",14,-31,-17,KND,-,
"d+1, 4, 2","m, l, m","16,15,21",14,-14,KND,KND,-,
"d+1, D",m,16,14,-9~-8,=+2~+3,=+3~+4s,-,
d+2,Sm (TC),8,11,-4,=+7,=+7,-,
d+3,l (TC),12,16,-17,-3,-3,-,
d+4,l,9,15,-31,-17,KND,-,
d+4 (Close),l,13,15,-31,KND,KND,-,
d+4 (Close),l,13,15,-31,KND,KND,-,
"d+4, 2","l, m","9,23",15,-18,-9,-9,-,
"d+4, 2:1+2","l, m, m","9,23,25",15,-17~-16,KND,KND,-,
d+4:2:1+2,"l, m, m","9,23,22",15,-17~-16,KND,KND,-,
d/b+1,Sm (TC),5,10,-5,=+6,=+6,-,
d/b+2,m?,21,19,-11~-10,KND,Launch,-,
d/b+2,m?,21,19,-11~-10,KND,Launch,-,
d/b+3,l (TC),12,15,-18~-16,-4~-2,-4~-2,-,
d/b+4,l (TC),7,12,-13,-2,-2,-,
d/f+1,m,13,14,-2,=+4,=+4,-,
d/f+1,m,13,14,-2,=+4,=+4,-,
"d/f+1, 1","m, h","13,9",14,-5~-4,=+5~+6,=+8~+9,-,
