Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,GIF,Notes
1,h,9,10,=+1,=+8,=+8,-,
1+2 or FC+1+2 (to KIN),(Special)(Returns move)(KIN),,28,,,,-,
1+2+3,m(!),0,22,-8~-5,0~+3,=+16~+19,-,
1+4 or WS+1+4,m,28,6,-15,CS,CS,-,
"1, 1","h, m","9,21",10,-8~-7,=+4~+5s,KND,-,
"1, 2","h, m","9,16",10,-9,-3,-3,-,
"1, 2, 1","h, m, h","9,16,20",10,-9,-2,KND,-,
2,h,13,10,-1,=+5,=+8,-,
2+3 (to NSS),(NSS),,50,,,,-,
"2, 1","h, m","13,31",10,-9,KND,KND,-,Tail spin
"2, 1, B (Cancel)","h, (Special)",13,10,-19,-13,-10,-,
"2, 2","h, h","13,10",10,-1,=+5,=+5,-,
"2, 2, 1+2","h, h, (KIN)","13,10",10,–,=+,=+,-,
"2, 3","h, h","13,28",10,-10,KND,KND,-,Tail spin
"2, d+3","h, l (TC)","13,14",10,-12,-1,-1,-,
3,h,20,12,-9,=+5,KND,-,
3+4 or BT 3+4 (to MED),(Special)(Recover health)(MED),,0,,,,-,
3~4,mm (TJ),"16,21",17,-6~-5,=+3~+4?,=+3~+4?,-,
3~4 (Second hit miss),m,16,17,-19? (Stance-9?),,,-,
"3~4, u/b or u or u/f","mm (TJ), (Special) (TJ)(DGF)","16,21",17,=+5~+6,=+9~+10?,=+9~+10?,-,
4,h,22,15,-11,0,KND,-,
"4, 4","h, h","22,22",15,-4,-2,-2,-,
"4, 4, 4","h, h, h","22,22,27",15,-4,KND,KND,-,Tail spin
4~1,m,28,6,-15,CS,CS,-,
4~3,m (TC),33,25,-12,Launch,Launch,-,
b+1,h,12,17,=+1,=+7,=+12,-,
"b+1, ,, d/b+3","h, , l","12,,9,,","17,",-20,-9,-9,-,
"b+1, 1","h, h","12,10",17,=+4,=+5,=+10,-,
"b+1, 1, 1","h, h, h","12,10,10",17,=+4,=+5,=+10,-,
"b+1, 1, 1, 1","h, h, h, h","12,10,10,6",17,=+4,=+5,=+10,-,
"b+1, 1, 1, 1, 1","h, h, h, h, h","12,10,10,6,6",17,4,=+5,=+10,-,
"b+1, 1, 1, 1, 1, 1","h, h, h, h, h, h","12,10,10,6,6,6",17,-75,-74,-69,-,
"b+1, 1.. (two to five hits), 3 or 4","h, h, , (Special)","12,10,,,",17,-3,-2,=+3,-,
"b+1, 3 or 4","h, (Special)",12,17,-6,0,=+5,-,
b+2,m,16,14,-9,=+2,=+2,-,
"b+2, 1","m, m (TJ)","16,27",14,-17~-16,Launch (JG?),Launch (JG?),-,
"b+2, 1+2","m, (KIN)",16,14,-9,=+2,=+2,-,
"b+2, 1, 1+2","m, m (TJ), (KIN)","16,27",14,-7,Launch (JG?),Launch (JG?),-,
"b+2, 2","m, h","16,28",14,-13,KND,KND,-,
b+3 (SSL),(Special),,14,,,,-,
b+3 or 4 (one spin),(Special),,14,,,,-,
"B+3 or 4, ,,",(Special),,0,,,,-,
b+4 (SSR),(Special),,14,,,,-,
"b, B+1+4",!,67,59,CS,CS,CS,-,
"b, B+1+4, B (Cancel)","(Special), m",28,47,-15,CS,CS,-,
BT 1,h,21,15,-6,=+5,=+5,-,
BT 1+2,h,20,8,-8,=+3,=+3,-,
"BT 1, 2","h, m","21,24",15,-5,=+5,hKZD,-,
"BT 1, 3","h, h","21,33",15,-7,KND,KND,-,
BT 2,h,24,16,-4,=+13kg,SCD,-,Tail spin
BT 2,h,24,16,-4,=+k,SCD,-,Tail spin
"BT 2, d/b+2","h, m","24,10",16,-5~-4,=+6~+7,=+6~+7,-,
BT 3,m (TJ),27,24,-3~-2,KND,KND,-,
BT 4,h,33,10,-8,KND,KND,-,
BT d or d/f+2,Sm,13,8,-2,=+9,=+9,-,
BT d+4 or d+3,l,16,10,-8,=+3,=+3,-,
BT d/b or d or d/f+1,l (TC),27,17,-13,=+3,=+3,-,
BT d/b+2,m,10,15,-5,=+6,=+6,-,
BT u+2+3,!,60,50,CS,CS,CS,-,
d+1,m,20,24,-5~-4,0~+1 OC,KND,-,
d+1+2 (to FLE),m (TJ)(FLE),9,16,=+18 GB,KND,KND,-,
d+1+4,!,"81(,22)",30,CS,CS,CS,-,
"d+1+4, b+1 (one spin)","!, !","81,24",30,CS,CS,CS,-,
"d+1+4, B+1, 1 (two spins)","!, !, !","81,24,27",30,CS,CS,CS,-,
"d+1+4, B+1, 1, 1 (three spins)","!, !, !, !","81,24,27,28",30,CS,CS,CS,-,
"d+1+4, B+1, 1, 1, 1 (four spins)","!, !, !, !, !","81,24,27,28,
37",30,CS,CS,CS,-,
"d+1+4, B+1, 1, 1, 1, 1 (five spins)","!, !, !, !, !, !","81,24,27,28,
37,40",30,CS,CS,CS,-,
"d+1, *, B (Cancel)",(Special),,240,,,,-,
"d+1, *, n (After on step)",!,27,65,0~+1 OC,0~+1 OC,KND,-,
"d+1, *, n (After three step)",!,40,135,0~+1 OC,0~+1 OC,KND,-,
"d+1, *, n (After two step)",!,33,100,0~+1 OC,0~+1 OC,KND,-,
"d+1, *, n (Five steps)",!,81,205,KND,KND,KND,-,
"d+1, *, n (Four steps)",!,54,170,KND,KND,KND,-,
"d+1, *, n (Six steps)",!,135,240,KND,KND,KND,-,
d+2,m (TC),16,16,-9~-8,0~+1,0~+1,-,
"d+2, 1","m (TC), h","16,22",16,-9?,KND,,-,Tail spin
"d+2, 2","m (TC), m","16,22",16,-14~-13,=+5~+6,CS,-,
"d+2, 2, 1","m (TC), m, h","16,22,27",16,-9,KND,KND,-,
"d+2, 2, 2+3","m (TC), m, (Special)","16,22",16,-14~-13,=+5~+6,CS,-,
"d+2, 2, d+1","m (TC), m, m","16,22,22",16,-10,=+4s,KND,-,
d+3,l (TC),16,15,-18~-17,-4~-3,-4~-3,-,
d+3+4 (to IND),(Special) (TC)(IND),,0,,,,-,
d+4,l (TC),9,12,-13,-2,-2,-,
"d/b*, 1+2 or FC+d/b*, 1+2 (to PDP)",(Special) (TC)(PDP),,0,,,,-,
d/b+1,m,21,20,-16,0 OC,0 OC,-,
"d/b+1, 1","m, m","21,31",20,-8,KND,KND,-,
d/b+2,m,10,15,-5,=+6,=+6,-,
"D/B+2, 2","m, m","10,9",15,-9~-8,=+2~+3,=+2~+3,-,
"D/B+2, 2, 2","m, m, m","10,9,7",15,-9~-8,=+2~+3,=+2~+3,-,
"D/B+2, 2, 2, 2","m, m, m, m","10,9,8,6",15,-9~-8,=+2~+3,=+2~+3,-,
"D/B+2, 2, 2, 2, 2","m, m, m, m, m","10,9,8,6,5",15,-9~-8,=+2~+3,=+2~+3,-,
"D/B+2, 2, 2, 2, 2, 2","m, m, m, m, m, m","10,9,8,6,5,4",15,-49~-46,-38~-35,-38~-35,-,
d/b+3,l (TC),13,15,-25~-24,-14~-13,-14~-13,-,
d/b+3 or FC+d/b+3,l (TC),13,15,-25~-24,-14~-13,-14~-13,-,
d/b+3+4j,l (TC),16,16,-17,-3,-3,-,
"d/b+3, 3","l (TC), l (TC)","13,9",18,-19~-18,-7~-6,-7~-6,-,
"d/b+3, 3, 3",l (TC) x 3,"13,9,9",18,-19~-18,-7~-6,-7~-6,-,
"d/b+3, 3, 3, 3",l (TC) x 4,"13,9,9,6",18,-19~-18,-7~-6,-7~-6,-,
"d/b+3, 3, 3, 3, 3",l (TC) x 5,"13,9,9,6,6",18,-19~-18,-7~-6,-7~-6,-,
"d/b+3, 3, 3, 3, 3, 3",l (TC) x 6,"13,9,9,6,6,6",18,-27,-14,-14,-,
"d/b+3, 3.. (two to five hits), d+3+4","l, l, , (IND)","13,9,,",12,-25,-13,-13,-,
"d/b+3, 3.. (two to five hits), f+4",m,20,12,-8,KND,KND,-,
d/b+4,l,18,17,-12,-1,-1,-,
d/f+1,m,14,13,-4,=+5,=+5,-,
d/f+1,m,18,13,-4,=+5,=+5,-,
d/f+1+2,l (TC),16,26,-11,=+4,=+7,-,
